TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
ATL,2022-04-16,@MIA,"DAVIS, ANTHONY",31,27,16,3,13,4,1,1,0,13,20,0.65,0,1,0,1,2,0.5,0,MIA,0,49,NA,132,77,29.09863014,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"YOUNG, TRAE",38,26,3,1,2,12,1,0,0,11,16,0.6875,4,6,0.6666666667,0,0,NA,0,MIA,0,42,NA,132,77,23.57260274,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"GEORGE, PAUL",27,18,8,1,7,3,1,0,1,7,14,0.5,2,4,0.5,2,2,1,0,MIA,0,30,NA,132,77,31.95616438,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"HORFORD, AL",34,10,9,0,9,2,0,2,0,5,6,0.8333333333,0,0,NA,0,0,NA,1,MIA,0,23,NA,132,77,35.86849315,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"ANTHONY, CARMELO",21,10,3,0,3,3,0,0,0,5,9,0.5555555556,0,0,NA,0,0,NA,0,MIA,0,16,NA,132,77,37.88219178,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"POWELL, NORMAN",25,9,3,0,3,5,0,0,0,4,8,0.5,1,2,0.5,0,0,NA,1,MIA,0,17,NA,132,77,28.89315068,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"HARDAWAY, TIM",13,9,2,0,2,2,0,0,0,3,6,0.5,1,3,0.3333333333,2,2,1,0,MIA,0,13,NA,132,77,24.18356164,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"CALDWELL-POPE, KENTAVIOUS",12,9,1,0,1,4,2,0,0,3,3,1,1,1,1,2,2,1,0,MIA,0,16,NA,132,77,29.15616438,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"GRANT, JERAMI",15,8,4,2,2,2,0,1,0,4,8,0.5,0,1,0,0,0,NA,0,MIA,0,15,NA,132,77,28.09589041,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"SMITH, ISH",10,4,1,0,1,3,1,0,0,2,2,1,0,0,NA,0,0,NA,0,MIA,0,9,NA,132,77,33.78082192,W,PLAYOFF,1,1,21-22
ATL,2022-04-16,@MIA,"ZELLER, CODY",14,2,5,1,4,0,0,0,1,1,2,0.5,0,0,NA,0,0,NA,0,MIA,0,7,NA,132,77,29.52876712,W,PLAYOFF,1,1,21-22
ATL,2022-04-20,@MIA,"YOUNG, TRAE",43,32,5,0,5,9,0,0,2,15,26,0.5769230769,2,4,0.5,0,0,NA,0,MIA,0,46,NA,98,106,23.58356164,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"GEORGE, PAUL",46,22,6,0,6,4,1,0,1,10,20,0.5,2,7,0.2857142857,0,0,NA,4,MIA,0,33,NA,98,106,31.96712329,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"POWELL, NORMAN",39,15,9,4,5,2,0,2,2,6,14,0.4285714286,1,4,0.25,2,2,1,2,MIA,0,28,NA,98,106,28.90410959,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"GRANT, JERAMI",30,10,2,0,2,1,0,1,1,4,12,0.3333333333,0,2,0,2,2,1,1,MIA,0,14,NA,98,106,28.10684932,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"ANTHONY, CARMELO",17,9,3,2,1,0,0,0,0,4,8,0.5,1,1,1,0,0,NA,1,MIA,0,12,NA,98,106,37.89315068,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"DAVIS, ANTHONY",13,6,5,1,4,0,0,0,1,3,5,0.6,0,1,0,0,0,NA,2,MIA,0,11,NA,98,106,29.10958904,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"HORFORD, AL",25,2,10,0,10,3,0,1,0,1,3,0.3333333333,0,0,NA,0,0,NA,0,MIA,0,16,NA,98,106,35.87945205,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"ZELLER, CODY",19,2,6,3,3,4,1,0,0,1,1,1,0,0,NA,0,0,NA,0,MIA,0,13,NA,98,106,29.53972603,L,PLAYOFF,2,1,21-22
ATL,2022-04-20,@MIA,"HARDAWAY, TIM",8,0,2,0,2,0,0,0,0,0,3,0,0,1,0,0,0,NA,0,MIA,0,2,NA,98,106,24.19452055,L,PLAYOFF,2,1,21-22
ATL,2022-04-24,MIA,"GEORGE, PAUL",41,33,5,0,5,8,2,0,2,14,25,0.56,1,4,0.25,4,5,0.8,2,MIA,0,48,NA,105,88,31.97808219,W,PLAYOFF,3,1,21-22
ATL,2022-04-24,MIA,"YOUNG, TRAE",41,22,5,0,5,6,0,0,3,10,18,0.5555555556,2,5,0.4,0,0,NA,2,MIA,0,33,NA,105,88,23.59452055,W,PLAYOFF,3,1,21-22
