TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,SEASON
DEN,2020-12-12,DAL,"PARKER, JABARI",33,11,7,2,5,3,2,0,2,5,11,0.4545454545,1,4,0.25,0,0,NA,5,DAL,0,23,NA,121,101,25.74520548,W,20-21
DEN,2020-12-12,DAL,"LEN, ALEX",30,9,7,1,6,0,0,2,2,4,8,0.5,0,0,NA,1,2,0.5,2,DAL,0,18,NA,121,101,27.49041096,W,20-21
DEN,2020-12-14,@NOP,"JOKIC, NIKOLA",36,28,7,1,6,9,1,3,6,6,13,0.4615384615,3,5,0.6,13,14,0.9285714286,5,NOP,0,48,NA,124,130,25.81693989,L,20-21
DEN,2020-12-22,PHI,"PARKER, JABARI",30,19,7,1,6,5,0,0,3,7,11,0.6363636364,2,4,0.5,3,3,1,5,PHI,0,31,NA,134,109,25.77260274,W,20-21
DEN,2020-12-22,PHI,"BOL, BOL",15,9,7,3,4,0,0,1,1,4,11,0.3636363636,1,4,0.25,0,0,NA,1,PHI,0,17,NA,134,109,21.09863014,W,20-21
DEN,2020-12-26,@ATL,"JOKIC, NIKOLA",35,24,7,3,4,9,1,0,3,6,14,0.4285714286,0,3,0,12,16,0.75,4,ATL,0,41,NA,112,119,25.84972678,L,20-21
DEN,2020-12-31,@MEM,"DEROZAN, DEMAR",41,37,7,2,5,8,1,2,5,16,30,0.5333333333,1,2,0.5,4,4,1,1,MEM,0,55,NA,130,136,31.4,L,20-21
DEN,2020-12-31,@MEM,"BOL, BOL",15,4,7,1,6,1,0,2,0,1,4,0.25,0,1,0,2,2,1,2,MEM,0,14,NA,130,136,21.12328767,L,20-21
DEN,2021-01-03,HOU,"LEN, ALEX",29,12,7,2,5,3,0,4,0,5,8,0.625,0,2,0,2,2,1,3,HOU,0,26,NA,127,138,27.55068493,L,20-21
DEN,2021-01-03,HOU,"PARKER, JABARI",29,0,7,0,7,4,0,1,1,0,1,0,0,0,NA,0,0,NA,4,HOU,0,12,NA,127,138,25.80547945,L,20-21
DEN,2021-01-07,PHX,"LEN, ALEX",28,4,7,2,5,0,0,1,1,2,10,0.2,0,4,0,0,0,NA,2,PHX,0,12,NA,113,102,27.56164384,W,20-21
DEN,2021-01-07,PHX,"BOL, BOL",16,1,7,1,6,0,0,1,1,0,1,0,0,0,NA,1,2,0.5,0,PHX,0,9,NA,113,102,21.14246575,W,20-21
DEN,2021-01-13,@SAC,"LEN, ALEX",30,12,7,3,4,0,0,2,2,5,10,0.5,0,2,0,2,6,0.3333333333,2,SAC,0,21,NA,98,136,27.57808219,L,20-21
DEN,2021-01-18,@NYK,"MURRAY, JAMAL",33,29,7,1,6,3,1,0,0,10,19,0.5263157895,4,9,0.4444444444,5,5,1,3,NYK,0,40,NA,114,96,23.90163934,W,20-21
DEN,2021-01-19,@BOS,"JOKIC, NIKOLA",31,25,7,1,6,6,1,1,2,11,19,0.5789473684,2,5,0.4,1,1,1,2,BOS,0,40,NA,115,142,25.91530055,L,20-21
DEN,2021-01-19,@BOS,"LEN, ALEX",16,13,7,2,5,2,0,0,0,5,5,1,3,3,1,0,0,NA,5,BOS,0,22,NA,115,142,27.59452055,L,20-21
DEN,2021-01-23,@PHI,"LEN, ALEX",19,11,7,3,4,0,0,2,0,5,7,0.7142857143,0,2,0,1,3,0.3333333333,1,PHI,0,20,NA,130,116,27.60547945,W,20-21
DEN,2021-01-27,OKC,"BOL, BOL",15,5,7,1,6,1,0,3,2,2,4,0.5,1,2,0.5,0,0,NA,1,OKC,0,16,NA,110,105,21.19726027,W,20-21
DEN,2021-01-28,NYK,"JOKIC, NIKOLA",33,24,7,3,4,8,0,0,2,8,17,0.4705882353,5,7,0.7142857143,3,4,0.75,3,NYK,0,39,NA,103,119,25.93989071,L,20-21
DEN,2021-01-28,NYK,"LEN, ALEX",23,8,7,1,6,0,0,0,1,3,8,0.375,0,3,0,2,4,0.5,2,NYK,0,15,NA,103,119,27.61917808,L,20-21
DEN,2021-01-31,ORL,"LEN, ALEX",18,8,7,1,6,0,0,0,1,4,4,1,0,0,NA,0,1,0,2,ORL,0,15,NA,114,94,27.62739726,W,20-21
DEN,2021-02-02,MIN,"LEN, ALEX",26,7,7,1,6,2,0,1,1,3,8,0.375,1,2,0.5,0,0,NA,3,MIN,0,17,NA,135,114,27.63287671,W,20-21
DEN,2021-02-04,@LAL,"DEROZAN, DEMAR",37,19,7,1,6,7,3,0,4,7,11,0.6363636364,0,0,NA,5,6,0.8333333333,3,LAL,0,36,NA,126,104,31.49589041,W,20-21
DEN,2021-02-13,@HOU,"DEROZAN, DEMAR",34,21,7,1,6,4,2,0,2,10,17,0.5882352941,0,0,NA,1,2,0.5,4,HOU,0,34,NA,119,141,31.52054795,L,20-21
DEN,2021-02-15,@IND,"LEN, ALEX",28,6,7,1,6,0,1,1,1,2,4,0.5,0,1,0,2,2,1,3,IND,0,15,NA,105,123,27.66849315,L,20-21
DEN,2021-02-19,@ATL,"DOZIER, PJ",17,13,7,3,4,1,1,1,1,4,8,0.5,0,1,0,5,7,0.7142857143,4,ATL,0,23,NA,121,131,24.32054795,L,20-21
DEN,2021-02-21,@DAL,"DEROZAN, DEMAR",38,24,7,0,7,8,0,0,2,8,15,0.5333333333,0,0,NA,8,8,1,4,DAL,0,39,NA,95,101,31.54246575,L,20-21
DEN,2021-02-28,CHA,"DOZIER, PJ",30,13,7,0,7,2,0,1,1,5,10,0.5,1,2,0.5,2,2,1,1,CHA,0,23,NA,128,98,24.34520548,W,20-21
DEN,2021-03-11,HOU,"JOKIC, NIKOLA",34,39,7,1,6,12,0,0,2,11,15,0.7333333333,3,4,0.75,14,14,1,5,HOU,0,58,NA,111,122,26.05479452,L,20-21
DEN,2021-03-13,@MEM,"DEROZAN, DEMAR",37,18,7,0,7,7,2,0,2,8,22,0.3636363636,0,0,NA,2,2,1,2,MEM,0,34,NA,98,109,31.59726027,L,20-21
DEN,2021-03-13,@MEM,"PARKER, JABARI",25,7,7,1,6,0,1,0,5,3,8,0.375,1,4,0.25,0,0,NA,5,MEM,0,15,NA,98,109,25.99452055,L,20-21
DEN,2021-03-13,@MEM,"HENSON, JOHN",16,6,7,2,5,0,0,2,3,3,9,0.3333333333,0,0,NA,0,0,NA,3,MEM,0,15,NA,98,109,30.20547945,L,20-21
DEN,2021-03-13,@MEM,"DOZIER, PJ",29,4,7,3,4,5,0,2,1,2,6,0.3333333333,0,1,0,0,0,NA,0,MEM,0,18,NA,98,109,24.38082192,L,20-21
DEN,2021-03-15,UTA,"HENSON, JOHN",17,12,7,2,5,0,0,1,0,6,9,0.6666666667,0,1,0,0,0,NA,1,UTA,0,20,NA,113,122,30.2109589,L,20-21
DEN,2021-03-20,POR,"DEROZAN, DEMAR",38,17,7,1,6,1,0,0,2,7,14,0.5,0,0,NA,3,4,0.75,3,POR,0,25,NA,83,106,31.61643836,L,20-21
DEN,2021-03-20,POR,"HENSON, JOHN",17,4,7,2,5,1,0,1,1,2,4,0.5,0,0,NA,0,0,NA,4,POR,0,13,NA,83,106,30.224657530000002,L,20-21
DEN,2021-03-21,@UTA,"PARKER, JABARI",26,24,7,1,6,4,0,0,4,9,19,0.4736842105,3,9,0.3333333333,3,6,0.5,3,UTA,0,35,NA,111,120,26.01643836,L,20-21
DEN,2021-03-26,SAS,"DEROZAN, DEMAR",37,33,7,1,6,2,0,1,4,12,17,0.7058823529,0,0,NA,9,10,0.9,6,SAS,0,43,NA,97,87,31.63287671,W,20-21
DEN,2021-03-26,SAS,"PARKER, JABARI",26,11,7,1,6,1,0,1,3,4,13,0.3076923077,1,2,0.5,2,2,1,0,SAS,0,20,NA,97,87,26.03013699,W,20-21
DEN,2021-03-26,SAS,"DOZIER, PJ",29,10,7,2,5,2,0,0,0,3,9,0.3333333333,2,4,0.5,2,3,0.6666666667,4,SAS,0,19,NA,97,87,24.41643836,W,20-21
DEN,2021-03-26,SAS,"LEN, ALEX",23,4,7,1,6,0,2,4,2,1,2,0.5,0,0,NA,2,2,1,2,SAS,0,17,NA,97,87,27.77534247,W,20-21
DEN,2021-03-28,LAL,"DOZIER, PJ",29,12,7,3,4,3,0,0,0,4,7,0.5714285714,2,3,0.6666666667,2,2,1,4,LAL,0,22,NA,135,109,24.42191781,W,20-21
DEN,2021-04-08,MIN,"DEROZAN, DEMAR",35,24,7,0,7,6,2,0,0,9,16,0.5625,0,0,NA,6,6,1,4,MIN,0,39,NA,102,125,31.66849315,L,20-21
DEN,2021-04-10,DET,"DOZIER, PJ",33,11,7,1,6,1,1,0,4,3,10,0.3,0,3,0,5,9,0.5555555556,5,DET,0,20,NA,139,116,24.45753425,W,20-21
DEN,2021-04-17,GSW,"DEROZAN, DEMAR",36,22,7,1,6,3,0,0,2,9,21,0.4285714286,0,0,NA,4,4,1,1,GSW,0,32,NA,121,107,31.69315068,W,20-21
DEN,2021-04-17,GSW,"JOKIC, NIKOLA",31,20,7,3,4,6,1,0,1,7,11,0.6363636364,2,2,1,4,4,1,6,GSW,0,34,NA,121,107,26.15616438,W,20-21
DEN,2021-04-17,GSW,"LEN, ALEX",21,15,7,4,3,1,0,1,1,6,10,0.6,2,5,0.4,1,3,0.3333333333,4,GSW,0,24,NA,121,107,27.83561644,W,20-21
DEN,2021-04-17,GSW,"MORRIS, MONTE",37,9,7,1,6,7,2,1,1,3,7,0.4285714286,1,3,0.3333333333,2,2,1,1,GSW,0,26,NA,121,107,25.80547945,W,20-21
DEN,2021-04-19,@CHA,"DEROZAN, DEMAR",35,36,7,0,7,9,2,1,2,13,18,0.7222222222,0,0,NA,10,11,0.9090909091,4,CHA,0,55,NA,132,84,31.69863014,W,20-21
DEN,2021-04-19,@CHA,"LEN, ALEX",21,10,7,2,5,2,0,0,0,4,6,0.6666666667,1,2,0.5,1,4,0.25,3,CHA,0,19,NA,132,84,27.84109589,W,20-21
DEN,2021-04-21,@CLE,"HENSON, JOHN",17,3,7,1,6,0,1,3,1,1,1,1,0,0,NA,1,4,0.25,0,CLE,0,14,NA,131,91,30.31232877,W,20-21
DEN,2021-04-27,@SAS,"LEN, ALEX",22,11,7,1,6,1,0,1,1,5,10,0.5,1,2,0.5,0,0,NA,2,SAS,0,20,NA,109,125,27.8630137,L,20-21
DEN,2021-05-06,@TOR,"BAZEMORE, KENT",34,17,7,1,6,2,0,0,1,6,14,0.4285714286,5,8,0.625,0,0,NA,2,TOR,0,26,NA,122,114,31.84657534,W,20-21
DEN,2021-05-06,@TOR,"LEN, ALEX",17,2,7,1,6,3,3,6,0,1,1,1,0,0,NA,0,2,0,1,TOR,0,21,NA,122,114,27.88767123,W,20-21
DEN,2021-05-07,@CHI,"LEN, ALEX",20,8,7,5,2,1,0,0,0,3,6,0.5,0,0,NA,2,4,0.5,1,CHI,0,16,NA,114,117,27.89041096,L,20-21
DEN,2021-05-09,@MIA,"DEROZAN, DEMAR",36,20,7,2,5,4,2,0,1,10,18,0.5555555556,0,2,0,0,0,NA,4,MIA,0,33,NA,109,112,31.75342466,L,20-21
DEN,2021-05-11,SAS,"LEN, ALEX",21,15,7,1,6,1,0,1,3,6,7,0.8571428571,2,2,1,1,2,0.5,3,SAS,0,24,NA,133,110,27.90136986,W,20-21
DEN,2021-05-15,@GSW,"DEROZAN, DEMAR",33,25,7,0,7,8,2,0,1,11,16,0.6875,0,0,NA,3,4,0.75,4,GSW,0,42,NA,114,100,31.76986301,W,20-21
DEN,2021-05-15,@GSW,"LEN, ALEX",21,9,7,0,7,0,1,0,1,3,3,1,0,0,NA,3,4,0.75,4,GSW,0,17,NA,114,100,27.91232877,W,20-21
DEN,2021-05-23,@POR,"MURRAY, JAMAL",36,28,7,0,7,1,1,1,4,10,16,0.625,3,7,0.4285714286,5,6,0.8333333333,2,POR,0,38,NA,108,117,24.24383562,L,20-21
DEN,2021-05-23,@POR,"DEROZAN, DEMAR",38,17,7,1,6,5,1,0,0,7,15,0.4666666667,0,0,NA,3,4,0.75,6,POR,0,30,NA,108,117,31.79178082,L,20-21
DEN,2021-05-23,@POR,"LEN, ALEX",22,6,7,4,3,2,0,1,0,3,8,0.375,0,1,0,0,0,NA,0,POR,0,16,NA,108,117,27.93424658,L,20-21
DEN,2021-05-28,@UTA,"DEROZAN, DEMAR",38,22,7,0,7,4,1,0,2,9,26,0.3461538462,0,0,NA,4,6,0.6666666667,2,UTA,0,34,NA,108,113,31.80547945,L,20-21
DET,2020-12-06,@IND,"WOOD, CHRISTIAN",33,22,7,5,2,0,1,1,4,8,18,0.4444444444,2,8,0.25,4,7,0.5714285714,1,IND,0,31,NA,93,112,25.19178082,L,20-21
DET,2020-12-06,@IND,"DOUMBOUYA, SEKOU",30,7,7,0,7,2,0,0,2,3,5,0.6,1,3,0.3333333333,0,0,NA,1,IND,0,16,NA,93,112,19.95355191,L,20-21
DET,2020-12-07,ATL,"DOUMBOUYA, SEKOU",30,12,7,1,6,0,1,0,3,5,8,0.625,1,1,1,1,6,0.1666666667,2,ATL,0,20,NA,108,115,19.95628415,L,20-21
DET,2020-12-07,ATL,"PORTIS, BOBBY",24,12,7,1,6,2,0,0,1,5,15,0.3333333333,2,7,0.2857142857,0,0,NA,4,ATL,0,21,NA,108,115,25.82240437,L,20-21
DET,2020-12-11,IND,"HAMPTON, RJ",24,6,7,1,6,3,0,1,3,3,11,0.2727272727,0,0,NA,0,0,NA,3,IND,0,17,NA,115,130,19.84153005,L,20-21
DET,2020-12-15,@CHI,"WOOD, CHRISTIAN",31,9,7,1,6,1,2,4,0,4,5,0.8,1,1,1,0,0,NA,3,CHI,0,23,NA,94,122,25.21643836,L,20-21
DET,2020-12-16,BKN,"PORTIS, BOBBY",25,23,7,2,5,2,0,0,1,8,11,0.7272727273,3,4,0.75,4,6,0.6666666667,0,BKN,0,32,NA,116,124,25.84699454,L,20-21
DET,2020-12-18,@WAS,"PORTIS, BOBBY",21,6,7,1,6,1,0,0,3,3,7,0.4285714286,0,2,0,0,0,NA,6,WAS,0,14,NA,105,127,25.85245902,L,20-21
DET,2020-12-22,@IND,"WRIGHT, DELON",27,11,7,2,5,4,1,1,1,3,5,0.6,1,2,0.5,4,4,1,4,IND,0,24,NA,83,118,28.65753425,L,20-21
DET,2020-12-29,@CHA,"EDWARDS, ANTHONY",35,44,7,2,5,1,0,0,4,16,22,0.7272727273,6,10,0.6,6,7,0.8571428571,4,CHA,0,52,NA,118,135,19.4,L,20-21
DET,2020-12-29,@CHA,"POWELL, DWIGHT",34,8,7,4,3,1,1,2,2,4,7,0.5714285714,0,0,NA,0,1,0,3,CHA,0,19,NA,118,135,29.44383562,L,20-21
DET,2021-01-03,@CHI,"DOUMBOUYA, SEKOU",31,13,7,1,6,2,2,1,2,6,12,0.5,0,2,0,1,2,0.5,3,CHI,0,25,NA,108,90,20.03013699,W,20-21
DET,2021-01-05,ATL,"EDWARDS, ANTHONY",38,19,7,2,5,1,1,0,3,7,22,0.3181818182,2,10,0.2,3,5,0.6,1,ATL,0,28,NA,124,126,19.41917808,L,20-21
DET,2021-01-05,ATL,"WRIGHT, DELON",28,13,7,3,4,6,1,1,2,4,7,0.5714285714,1,1,1,4,4,1,3,ATL,0,28,NA,124,126,28.69589041,L,20-21
DET,2021-01-08,ORL,"PORTIS, BOBBY",33,24,7,2,5,2,3,0,1,6,16,0.375,3,6,0.5,9,10,0.9,2,ORL,0,36,NA,96,84,25.90983607,W,20-21
DET,2021-01-08,ORL,"WRIGHT, DELON",36,5,7,3,4,8,4,1,3,2,7,0.2857142857,1,2,0.5,0,0,NA,0,ORL,0,25,NA,96,84,28.70410959,W,20-21
DET,2021-01-10,@CHA,"EDWARDS, ANTHONY",38,32,7,1,6,3,3,0,2,11,18,0.6111111111,6,8,0.75,4,6,0.6666666667,2,CHA,0,45,NA,105,109,19.43287671,L,20-21
DET,2021-01-12,CHA,"DOUMBOUYA, SEKOU",30,2,7,1,6,2,0,0,1,1,4,0.25,0,1,0,0,0,NA,2,CHA,0,11,NA,90,120,20.05479452,L,20-21
DET,2021-01-17,MIL,"POWELL, DWIGHT",28,7,7,2,5,2,1,0,0,3,4,0.75,0,0,NA,1,2,0.5,2,MIL,0,17,NA,97,119,29.49589041,L,20-21
DET,2021-01-19,IND,"DOUMBOUYA, SEKOU",30,8,7,2,5,1,0,0,4,3,9,0.3333333333,2,4,0.5,0,0,NA,3,IND,0,16,NA,99,118,20.0739726,L,20-21
DET,2021-02-15,@LAC,"POWELL, DWIGHT",36,11,7,1,6,0,1,1,2,4,9,0.4444444444,0,0,NA,3,4,0.75,4,LAC,0,20,NA,117,116,29.57534247,W,20-21
DET,2021-02-17,@GSW,"DOUMBOUYA, SEKOU",29,11,7,0,7,0,2,0,2,4,8,0.5,1,4,0.25,2,2,1,2,GSW,0,20,NA,93,109,20.15342466,L,20-21
DET,2021-02-18,@LAL,"WRIGHT, DELON",34,15,7,2,5,6,0,2,1,6,12,0.5,3,5,0.6,0,0,NA,1,LAL,0,30,NA,110,147,28.81643836,L,20-21
DET,2021-02-22,CLE,"POWELL, DWIGHT",27,16,7,5,2,1,3,1,3,7,8,0.875,0,0,NA,2,5,0.4,2,CLE,0,28,NA,102,119,29.59452055,L,20-21
DET,2021-02-24,CHI,"DOUMBOUYA, SEKOU",36,26,7,2,5,2,0,4,1,9,17,0.5294117647,3,7,0.4285714286,5,6,0.8333333333,2,CHI,0,39,NA,99,91,20.17260274,W,20-21
DET,2021-02-26,NOP,"DOUMBOUYA, SEKOU",38,19,7,0,7,3,1,0,1,8,12,0.6666666667,1,4,0.25,2,2,1,3,NOP,0,30,NA,115,121,20.17808219,L,20-21
DET,2021-03-03,@ATL,"BELL, JORDAN",17,10,7,1,6,0,0,0,0,5,10,0.5,0,0,NA,0,0,NA,1,ATL,0,17,NA,104,119,26.15068493,L,20-21
DET,2021-03-05,@WAS,"POWELL, DWIGHT",34,7,7,4,3,2,1,1,2,2,7,0.2857142857,0,0,NA,3,3,1,4,WAS,0,18,NA,102,107,29.62465753,L,20-21
DET,2021-03-09,MEM,"BELL, JORDAN",16,6,7,2,5,1,1,1,1,3,5,0.6,0,0,NA,0,0,NA,0,MEM,0,16,NA,96,120,26.16712329,L,20-21
DET,2021-03-12,CLE,"DOUMBOUYA, SEKOU",33,16,7,1,6,2,2,0,3,7,16,0.4375,1,8,0.125,1,2,0.5,3,CLE,0,27,NA,101,107,20.21643836,L,20-21
DET,2021-03-14,@BKN,"DOUMBOUYA, SEKOU",32,4,7,0,7,0,0,1,2,2,7,0.2857142857,0,4,0,0,0,NA,4,BKN,0,12,NA,86,120,20.22191781,L,20-21
DET,2021-03-21,PHX,"DOUMBOUYA, SEKOU",32,23,7,0,7,0,1,0,1,10,19,0.5263157895,2,7,0.2857142857,1,1,1,3,PHX,0,31,NA,103,123,20.24109589,L,20-21
DET,2021-03-23,@OKC,"DOUMBOUYA, SEKOU",32,13,7,0,7,2,1,0,1,5,16,0.3125,2,8,0.25,1,1,1,2,OKC,0,23,NA,125,102,20.24657534,W,20-21
DET,2021-03-23,@OKC,"POWELL, DWIGHT",34,9,7,1,6,1,2,0,3,4,8,0.5,0,0,NA,1,1,1,4,OKC,0,19,NA,125,102,29.6739726,W,20-21
DET,2021-03-26,CHA,"POWELL, DWIGHT",32,8,7,1,6,1,1,0,1,4,10,0.4,0,0,NA,0,1,0,1,CHA,0,17,NA,97,98,29.68219178,L,20-21
DET,2021-03-26,CHA,"FERNANDO, BRUNO",15,6,7,1,6,0,0,0,0,3,8,0.375,0,0,NA,0,2,0,3,CHA,0,13,NA,97,98,22.6109589,L,20-21
DET,2021-03-28,@ORL,"POWELL, DWIGHT",33,8,7,0,7,1,1,0,2,4,6,0.6666666667,0,0,NA,0,0,NA,2,ORL,0,17,NA,95,98,29.68767123,L,20-21
DET,2021-03-30,MIL,"BELL, JORDAN",17,6,7,1,6,1,2,1,1,3,7,0.4285714286,0,0,NA,0,0,NA,0,MIL,0,17,NA,94,117,26.224657530000002,L,20-21
DET,2021-05-04,GSW,"BELL, JORDAN",17,6,7,3,4,2,0,3,1,3,8,0.375,0,0,NA,0,0,NA,2,GSW,0,18,NA,100,93,26.32054795,W,20-21
DET,2021-05-04,GSW,"POWELL, DWIGHT",30,4,7,1,6,0,0,1,2,2,4,0.5,0,0,NA,0,1,0,3,GSW,0,12,NA,100,93,29.7890411,W,20-21
DET,2021-05-04,GSW,"FERNANDO, BRUNO",15,4,7,3,4,0,0,0,1,2,3,0.6666666667,0,0,NA,0,0,NA,1,GSW,0,11,NA,100,93,22.71780822,W,20-21
DET,2021-05-06,LAL,"WOOD, CHRISTIAN",34,21,7,2,5,2,1,0,1,10,26,0.3846153846,1,6,0.1666666667,0,1,0,3,LAL,0,31,NA,95,136,25.60547945,L,20-21
DET,2021-05-07,@MIL,"BELL, JORDAN",16,12,7,0,7,0,0,1,0,6,8,0.75,0,0,NA,0,1,0,2,MIL,0,20,NA,92,103,26.32876712,L,20-21
DET,2021-05-18,MIA,"POWELL, DWIGHT",34,12,7,4,3,1,0,1,2,4,7,0.5714285714,0,0,NA,4,5,0.8,1,MIA,0,21,NA,94,139,29.82739726,L,20-21
DET,2021-05-20,@MIN,"WOOD, CHRISTIAN",34,18,7,2,5,4,0,2,1,8,14,0.5714285714,2,5,0.4,0,0,NA,3,MIN,0,31,NA,88,123,25.64383562,L,20-21
DET,2021-05-25,@DAL,"BELL, JORDAN",17,3,7,1,6,0,0,0,1,1,3,0.3333333333,0,0,NA,1,2,0.5,2,DAL,0,10,NA,92,114,26.37808219,L,20-21
DET,2021-05-27,BOS,"POWELL, DWIGHT",23,0,7,3,4,0,0,0,2,0,2,0,0,0,NA,0,0,NA,6,BOS,0,7,NA,110,124,29.85205479,L,20-21
GSW,2020-12-10,@OKC,"CURRY, STEPHEN",38,32,7,0,7,10,7,0,4,10,20,0.5,5,10,0.5,7,7,1,5,OKC,0,56,NA,119,106,32.74246575,W,20-21
GSW,2020-12-11,@NOP,"MCGEE, JAVALE",30,14,7,0,7,1,1,1,2,7,14,0.5,0,0,NA,0,0,NA,4,NOP,0,24,NA,110,111,32.89344262,L,20-21
GSW,2020-12-11,@NOP,"TURNER, MYLES",22,4,7,1,6,1,1,1,2,2,6,0.3333333333,0,1,0,0,0,NA,6,NOP,0,14,NA,110,111,24.71780822,L,20-21
GSW,2020-12-16,CHA,"TUCKER, PJ",21,2,7,0,7,0,1,0,1,1,4,0.25,0,2,0,0,0,NA,3,CHA,0,10,NA,119,108,35.61643836,W,20-21
GSW,2020-12-18,POR,"CURRY, STEPHEN",42,36,7,2,5,10,1,0,3,13,25,0.52,8,13,0.6153846154,2,2,1,1,POR,0,54,NA,130,113,32.76438356,W,20-21
GSW,2020-12-20,@HOU,"CURRY, STEPHEN",41,50,7,1,6,9,4,0,2,17,25,0.68,6,11,0.5454545455,10,10,1,0,HOU,0,70,NA,122,133,32.76986301,L,20-21
GSW,2020-12-20,@HOU,"LEONARD, MEYERS",15,3,7,0,7,0,0,1,0,1,3,0.3333333333,1,2,0.5,0,0,NA,0,HOU,0,11,NA,122,133,28.81147541,L,20-21
GSW,2020-12-25,UTA,"CURRY, STEPHEN",37,26,7,2,5,8,1,1,3,10,20,0.5,3,10,0.3,3,3,1,4,UTA,0,43,NA,127,116,32.78356164,W,20-21
GSW,2020-12-25,UTA,"GREEN, DRAYMOND",33,18,7,0,7,8,1,0,1,7,14,0.5,2,5,0.4,2,2,1,2,UTA,0,34,NA,127,116,30.8109589,W,20-21
GSW,2020-12-25,UTA,"MCGEE, JAVALE",18,8,7,0,7,0,0,0,1,3,4,0.75,0,0,NA,2,2,1,4,UTA,0,15,NA,127,116,32.93169399,W,20-21
GSW,2020-12-31,@NOP,"CURRY, STEPHEN",38,53,7,0,7,4,3,0,2,21,33,0.6363636364,4,7,0.5714285714,7,7,1,1,NOP,0,67,NA,125,99,32.8,W,20-21
GSW,2021-01-02,@MEM,"CURRY, STEPHEN",37,38,7,1,6,5,4,0,5,14,19,0.7368421053,8,12,0.6666666667,2,2,1,3,MEM,0,54,NA,123,120,32.80547945,W,20-21
GSW,2021-01-05,@UTA,"CURRY, STEPHEN",36,40,7,2,5,7,4,0,3,11,15,0.7333333333,5,9,0.5555555556,13,14,0.9285714286,4,UTA,0,58,NA,115,102,32.81369863,W,20-21
GSW,2021-01-08,OKC,"TURNER, MYLES",28,20,7,2,5,1,1,1,0,7,15,0.4666666667,2,8,0.25,4,4,1,2,OKC,0,30,NA,130,111,24.79452055,W,20-21
GSW,2021-01-08,OKC,"GAY, RUDY",16,5,7,0,7,0,1,0,2,2,3,0.6666666667,0,0,NA,1,2,0.5,1,OKC,0,13,NA,130,111,34.39452055,W,20-21
GSW,2021-01-12,@MIA,"TURNER, MYLES",29,18,7,4,3,0,5,0,0,8,20,0.4,0,10,0,2,2,1,4,MIA,0,30,NA,127,132,24.80547945,L,20-21
GSW,2021-01-14,@ORL,"CURRY, STEPHEN",41,25,7,1,6,9,2,0,4,8,17,0.4705882353,4,9,0.4444444444,5,5,1,0,ORL,0,43,NA,105,107,32.83835616,L,20-21
GSW,2021-01-14,@ORL,"MARKKANEN, LAURI",28,4,7,1,6,2,1,0,0,0,7,0,0,6,0,4,4,1,4,ORL,0,14,NA,105,107,23.64931507,L,20-21
GSW,2021-01-15,@ATL,"TURNER, MYLES",31,8,7,1,6,0,1,1,0,3,17,0.1764705882,0,10,0,2,2,1,4,ATL,0,17,NA,102,96,24.81369863,W,20-21
GSW,2021-01-19,@CHI,"TURNER, MYLES",23,18,7,2,5,0,2,0,2,7,13,0.5384615385,2,5,0.4,2,2,1,3,CHI,0,27,NA,118,128,24.82465753,L,20-21
GSW,2021-01-24,NYK,"LAMB, JEREMY",23,11,7,1,6,1,3,1,2,4,11,0.3636363636,1,3,0.3333333333,2,2,1,1,NYK,0,23,NA,124,71,28.65479452,W,20-21
GSW,2021-01-24,NYK,"GAY, RUDY",20,8,7,0,7,1,1,1,2,2,5,0.4,0,0,NA,4,4,1,2,NYK,0,18,NA,124,71,34.43835616,W,20-21
GSW,2021-01-26,@UTA,"CURRY, STEPHEN",36,36,7,2,5,7,1,0,5,12,25,0.48,7,17,0.4117647059,5,5,1,3,UTA,0,51,NA,111,110,32.87123288,W,20-21
GSW,2021-01-28,SAC,"MARKKANEN, LAURI",30,14,7,0,7,2,0,0,1,5,9,0.5555555556,4,8,0.5,0,0,NA,1,SAC,0,23,NA,123,107,23.68767123,W,20-21
GSW,2021-01-31,@POR,"CURRY, STEPHEN",38,24,7,0,7,8,1,0,4,8,22,0.3636363636,6,16,0.375,2,3,0.6666666667,4,POR,0,40,NA,98,96,32.88493151,W,20-21
GSW,2021-02-02,NOP,"TURNER, MYLES",33,13,7,2,5,0,0,1,0,5,10,0.5,1,5,0.2,2,2,1,2,NOP,0,21,NA,112,103,24.8630137,W,20-21
GSW,2021-02-05,MIN,"JORDAN, DEANDRE",24,4,7,1,6,2,0,1,1,1,4,0.25,0,0,NA,2,2,1,1,MIN,0,14,NA,121,125,32.54520548,L,20-21
GSW,2021-02-07,HOU,"GAY, RUDY",28,7,7,1,6,0,2,0,1,2,5,0.4,1,2,0.5,2,2,1,2,HOU,0,16,NA,123,118,34.47671233,W,20-21
GSW,2021-02-09,PHX,"GAY, RUDY",27,17,7,3,4,2,0,0,1,7,14,0.5,2,9,0.2222222222,1,1,1,1,PHX,0,26,NA,112,109,34.48219178,W,20-21
GSW,2021-02-10,DAL,"JORDAN, DEANDRE",26,9,7,1,6,2,1,3,4,2,4,0.5,0,0,NA,5,6,0.8333333333,3,DAL,0,22,NA,116,100,32.55890411,W,20-21
