TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,SEASON
BKN,2021-02-25,ATL,"DURANT, KEVIN",31,35,16,0,16,2,1,0,1,15,22,0.6818181818,5,9,0.5555555556,0,0,NA,3,ATL,0,54,NA,126,119,32.4109589,W,20-21
BKN,2021-04-14,@MIA,"CAULEY-STEIN, WILLIE",30,4,16,2,14,0,3,2,1,1,3,0.3333333333,0,0,NA,2,2,1,2,MIA,0,25,NA,120,112,27.65479452,W,20-21
BOS,2021-04-18,@CLE,"VALANCIUNAS, JONAS",34,14,16,8,8,1,0,1,0,5,8,0.625,0,0,NA,4,4,1,1,CLE,0,32,NA,130,120,28.95068493,W,20-21
BOS,2021-04-26,@MIL,"VALANCIUNAS, JONAS",34,18,16,4,12,2,0,0,3,8,9,0.8888888889,0,0,NA,2,3,0.6666666667,5,MIL,0,36,NA,97,138,28.97260274,L,20-21
CHA,2020-12-29,DET,"BAYNES, ARON",38,7,16,6,10,5,0,3,1,2,7,0.2857142857,0,1,0,3,6,0.5,5,DET,0,31,NA,135,118,34.05479452,W,20-21
CHA,2021-03-19,ORL,"BAYNES, ARON",35,2,16,4,12,2,0,0,0,0,12,0,0,6,0,2,4,0.5,3,ORL,0,20,NA,84,96,34.2739726,L,20-21
CHI,2020-12-11,@NYK,"GOBERT, RUDY",34,11,16,5,11,0,1,3,1,5,10,0.5,0,0,NA,1,3,0.3333333333,4,NYK,0,31,NA,89,103,28.46027397,L,20-21
CHI,2021-01-10,@GSW,"GOBERT, RUDY",34,14,16,6,10,2,2,1,0,5,8,0.625,0,0,NA,4,6,0.6666666667,5,GSW,0,35,NA,114,112,28.54246575,W,20-21
CHI,2021-01-29,@OKC,"GOBERT, RUDY",32,20,16,5,11,3,1,3,2,8,11,0.7272727273,0,0,NA,4,4,1,1,OKC,0,43,NA,142,143,28.59452055,L,20-21
CHI,2021-02-17,BOS,"GOBERT, RUDY",30,10,16,0,16,1,1,4,2,4,7,0.5714285714,0,0,NA,2,2,1,2,BOS,0,32,NA,126,104,28.64657534,W,20-21
