TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,SEASON
ATL,2021-11-24,@SAS,"POWELL, NORMAN",20,16,1,0,1,0,3,0,0,6,9,0.6666666667,2,3,0.6666666667,2,2,1,2,SAS,0,20,NA,112,98,28.50136986,W,REG,21-22
ATL,2021-11-24,@SAS,"GEORGE, PAUL",31,15,5,0,5,8,1,0,3,5,11,0.4545454545,1,5,0.2,4,5,0.8,2,SAS,0,29,NA,112,98,31.56438356,W,REG,21-22
ATL,2021-11-24,@SAS,"GRANT, JERAMI",32,15,2,0,2,0,1,1,0,6,13,0.4615384615,1,5,0.2,2,2,1,5,SAS,0,19,NA,112,98,27.70410959,W,REG,21-22
ATL,2021-11-24,@SAS,"YOUNG, TRAE",32,13,2,0,2,10,1,0,1,4,10,0.4,2,7,0.2857142857,3,3,1,2,SAS,0,26,NA,112,98,23.18082192,W,REG,21-22
ATL,2021-11-24,@SAS,"CALDWELL-POPE, KENTAVIOUS",14,8,0,0,0,0,1,0,0,1,3,0.3333333333,1,3,0.3333333333,5,6,0.8333333333,0,SAS,0,9,NA,112,98,28.76438356,W,REG,21-22
ATL,2021-11-24,@SAS,"ZELLER, CODY",22,4,9,3,6,0,1,2,2,2,7,0.2857142857,0,0,NA,0,0,NA,3,SAS,0,16,NA,112,98,29.1369863,W,REG,21-22
ATL,2021-11-24,@SAS,"SMITH, ISH",11,4,1,1,0,2,0,0,1,2,3,0.6666666667,0,0,NA,0,2,0,0,SAS,0,7,NA,112,98,33.3890411,W,REG,21-22
ATL,2021-11-24,@SAS,"BRADLEY, TONY",11,2,1,0,1,2,3,0,1,0,0,NA,0,0,NA,2,2,1,0,SAS,0,8,NA,112,98,23.87671233,W,REG,21-22
ATL,2021-11-24,@SAS,"FORBES, BRYN",6,1,0,0,0,1,0,0,0,0,4,0,0,3,0,1,2,0.5,0,SAS,0,2,NA,112,98,28.33972603,W,REG,21-22
ATL,2021-11-26,@MEM,"POWELL, NORMAN",26,23,1,0,1,2,1,0,0,8,12,0.6666666667,3,4,0.75,4,6,0.6666666667,2,MEM,0,27,NA,116,130,28.50684932,L,REG,21-22
ATL,2021-11-26,@MEM,"YOUNG, TRAE",33,22,3,0,3,5,0,0,3,5,11,0.4545454545,2,4,0.5,10,10,1,5,MEM,0,30,NA,116,130,23.18630137,L,REG,21-22
ATL,2021-11-26,@MEM,"CALDWELL-POPE, KENTAVIOUS",13,16,2,1,1,2,1,1,1,5,8,0.625,4,6,0.6666666667,2,3,0.6666666667,1,MEM,0,22,NA,116,130,28.76986301,L,REG,21-22
ATL,2021-11-26,@MEM,"GEORGE, PAUL",26,15,8,1,7,2,2,0,3,4,9,0.4444444444,1,3,0.3333333333,6,6,1,6,MEM,0,27,NA,116,130,31.56986301,L,REG,21-22
ATL,2021-11-26,@MEM,"GRANT, JERAMI",32,11,1,1,0,1,0,2,0,4,10,0.4,0,2,0,3,4,0.75,5,MEM,0,15,NA,116,130,27.70958904,L,REG,21-22
ATL,2021-11-26,@MEM,"SMITH, ISH",11,7,2,0,2,4,1,0,2,3,3,1,0,0,NA,1,2,0.5,0,MEM,0,14,NA,116,130,33.39452055,L,REG,21-22
