TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,SEASON
CHA,2021-12-05,@ATL,"KENNARD, LUKE",28,6,4,0,4,2,0,0,2,2,7,0.2857142857,1,4,0.25,1,2,0.5,1,ATL,0,12,NA,106,146,25.44931507,L,REG,21-22
CHA,2021-12-05,@ATL,"JONES, DERRICK",15,5,2,2,0,0,1,2,1,2,4,0.5,1,2,0.5,0,0,NA,6,ATL,0,10,NA,106,146,24.80273973,L,REG,21-22
CHA,2021-12-05,@ATL,"HOLIDAY, JUSTIN",28,2,3,0,3,3,1,0,2,1,5,0.2,0,4,0,0,0,NA,1,ATL,0,9,NA,106,146,32.66849315,L,REG,21-22
CHA,2021-12-05,@ATL,"BERTANS, DAVIS",22,2,2,0,2,0,0,0,2,0,6,0,0,5,0,2,2,1,2,ATL,0,4,NA,106,146,29.0630137,L,REG,21-22
CHA,2021-12-05,@ATL,"MCDANIELS, JALEN",14,2,5,1,4,0,1,0,0,1,4,0.25,0,2,0,0,0,NA,1,ATL,0,8,NA,106,146,23.84383562,L,REG,21-22
CHA,2021-12-06,PHI,"PRINCE, TAUREAN",20,21,1,0,1,0,0,1,2,8,14,0.5714285714,5,8,0.625,0,0,NA,2,PHI,0,23,NA,133,120,27.70958904,W,REG,21-22
CHA,2021-12-06,PHI,"WASHINGTON, PJ",29,20,10,3,7,2,2,1,0,7,10,0.7,2,4,0.5,4,6,0.6666666667,2,PHI,0,35,NA,133,120,23.28767123,W,REG,21-22
CHA,2021-12-06,PHI,"MALEDON, THEO",22,18,4,0,4,4,2,0,3,4,11,0.3636363636,2,8,0.25,8,10,0.8,2,PHI,0,28,NA,133,120,20.48493151,W,REG,21-22
CHA,2021-12-06,PHI,"KENNARD, LUKE",29,16,2,0,2,0,0,0,3,6,11,0.5454545455,4,8,0.5,0,0,NA,3,PHI,0,18,NA,133,120,25.45205479,W,REG,21-22
CHA,2021-12-06,PHI,"GRAHAM, DEVONTE",31,13,2,0,2,8,0,0,1,5,15,0.3333333333,3,12,0.25,0,0,NA,2,PHI,0,23,NA,133,120,26.78630137,W,REG,21-22
CHA,2021-12-06,PHI,"HOLIDAY, JUSTIN",27,11,2,0,2,3,1,0,0,4,8,0.5,2,5,0.4,1,2,0.5,1,PHI,0,17,NA,133,120,32.67123288,W,REG,21-22
CHA,2021-12-06,PHI,"JONES, DERRICK",16,11,2,1,1,0,0,0,0,4,5,0.8,0,1,0,3,5,0.6,2,PHI,0,13,NA,133,120,24.80547945,W,REG,21-22
CHA,2021-12-06,PHI,"SENGUN, ALPEREN",29,10,10,2,8,2,2,0,0,3,10,0.3,0,0,NA,4,4,1,2,PHI,0,24,NA,133,120,19.36712329,W,REG,21-22
CHA,2021-12-06,PHI,"BERTANS, DAVIS",23,9,1,0,1,1,2,0,0,3,6,0.5,3,6,0.5,0,0,NA,1,PHI,0,13,NA,133,120,29.06575342,W,REG,21-22
CHA,2021-12-06,PHI,"MCDANIELS, JALEN",14,4,4,1,3,2,1,2,0,1,3,0.3333333333,1,2,0.5,1,2,0.5,2,PHI,0,13,NA,133,120,23.84657534,W,REG,21-22
CHA,2021-12-08,PHI,"SENGUN, ALPEREN",27,16,6,1,5,3,1,1,1,7,9,0.7777777778,0,0,NA,2,2,1,2,PHI,0,27,NA,80,110,19.37260274,L,REG,21-22
CHA,2021-12-08,PHI,"GRAHAM, DEVONTE",35,12,2,0,2,6,0,0,4,3,16,0.1875,2,13,0.1538461538,4,5,0.8,2,PHI,0,20,NA,80,110,26.79178082,L,REG,21-22
CHA,2021-12-08,PHI,"WASHINGTON, PJ",30,10,6,2,4,0,0,2,1,4,17,0.2352941176,2,8,0.25,0,0,NA,2,PHI,0,18,NA,80,110,23.29315068,L,REG,21-22
CHA,2021-12-08,PHI,"PRINCE, TAUREAN",21,9,6,1,5,3,2,1,0,3,12,0.25,3,7,0.4285714286,0,0,NA,0,PHI,0,21,NA,80,110,27.71506849,L,REG,21-22
CHA,2021-12-08,PHI,"JONES, DERRICK",15,9,1,0,1,0,1,1,1,4,4,1,1,1,1,0,0,NA,1,PHI,0,12,NA,80,110,24.8109589,L,REG,21-22
CHA,2021-12-08,PHI,"BERTANS, DAVIS",22,8,5,0,5,2,0,0,2,2,6,0.3333333333,1,5,0.2,3,3,1,2,PHI,0,15,NA,80,110,29.07123288,L,REG,21-22
CHA,2021-12-08,PHI,"HOLIDAY, JUSTIN",28,6,2,0,2,1,2,1,0,2,10,0.2,2,9,0.2222222222,0,0,NA,1,PHI,0,12,NA,80,110,32.67671233,L,REG,21-22
CHA,2021-12-08,PHI,"MALEDON, THEO",22,5,4,0,4,4,0,0,1,2,9,0.2222222222,1,4,0.25,0,0,NA,0,PHI,0,13,NA,80,110,20.49041096,L,REG,21-22
CHA,2021-12-08,PHI,"KENNARD, LUKE",27,3,4,0,4,2,1,0,1,1,7,0.1428571429,1,4,0.25,0,0,NA,2,PHI,0,10,NA,80,110,25.45753425,L,REG,21-22
CHA,2021-12-08,PHI,"MCDANIELS, JALEN",13,2,2,0,2,0,1,1,0,1,2,0.5,0,0,NA,0,0,NA,0,PHI,0,6,NA,80,110,23.85205479,L,REG,21-22
CHA,2021-12-10,SAC,"MALEDON, THEO",22,18,0,0,0,1,1,0,1,6,13,0.4615384615,4,8,0.5,2,2,1,2,SAC,0,20,NA,106,124,20.49589041,L,REG,21-22
CHA,2021-12-10,SAC,"GRAHAM, DEVONTE",35,16,3,1,2,6,2,0,5,5,15,0.3333333333,3,12,0.25,3,4,0.75,5,SAC,0,27,NA,106,124,26.79726027,L,REG,21-22
CHA,2021-12-10,SAC,"KENNARD, LUKE",28,14,5,0,5,1,0,0,0,4,8,0.5,3,6,0.5,3,5,0.6,2,SAC,0,20,NA,106,124,25.4630137,L,REG,21-22
CHA,2021-12-10,SAC,"PRINCE, TAUREAN",21,14,2,0,2,2,1,0,0,6,10,0.6,2,3,0.6666666667,0,0,NA,0,SAC,0,19,NA,106,124,27.72054795,L,REG,21-22
CHA,2021-12-10,SAC,"WASHINGTON, PJ",29,12,6,0,6,4,0,0,1,5,8,0.625,2,5,0.4,0,1,0,1,SAC,0,22,NA,106,124,23.29863014,L,REG,21-22
CHA,2021-12-10,SAC,"SENGUN, ALPEREN",27,11,8,1,7,1,0,0,3,5,9,0.5555555556,0,0,NA,1,1,1,0,SAC,0,20,NA,106,124,19.37808219,L,REG,21-22
CHA,2021-12-10,SAC,"HOLIDAY, JUSTIN",27,9,4,0,4,0,2,0,0,3,6,0.5,1,3,0.3333333333,2,2,1,1,SAC,0,15,NA,106,124,32.68219178,L,REG,21-22
CHA,2021-12-10,SAC,"BERTANS, DAVIS",23,6,1,0,1,3,0,0,2,2,8,0.25,2,8,0.25,0,0,NA,2,SAC,0,10,NA,106,124,29.07671233,L,REG,21-22
CHA,2021-12-10,SAC,"MCDANIELS, JALEN",14,4,1,0,1,0,0,0,1,2,6,0.3333333333,0,2,0,0,0,NA,0,SAC,0,5,NA,106,124,23.85753425,L,REG,21-22
CHA,2021-12-10,SAC,"JONES, DERRICK",14,2,3,2,1,1,1,1,1,1,4,0.25,0,2,0,0,0,NA,1,SAC,0,8,NA,106,124,24.81643836,L,REG,21-22
CHA,2021-12-13,@DAL,"GRAHAM, DEVONTE",36,19,4,1,3,6,0,0,5,7,18,0.3888888889,5,14,0.3571428571,0,0,NA,3,DAL,0,29,NA,100,122,26.80547945,L,REG,21-22
CHA,2021-12-13,@DAL,"PRINCE, TAUREAN",22,15,4,0,4,1,1,1,1,5,8,0.625,3,4,0.75,2,2,1,2,DAL,0,22,NA,100,122,27.72876712,L,REG,21-22
CHA,2021-12-13,@DAL,"MALEDON, THEO",23,15,3,0,3,1,1,0,3,6,10,0.6,3,4,0.75,0,0,NA,1,DAL,0,20,NA,100,122,20.50410959,L,REG,21-22
CHA,2021-12-13,@DAL,"WASHINGTON, PJ",29,12,6,1,5,5,0,0,4,3,11,0.2727272727,3,9,0.3333333333,3,3,1,2,DAL,0,23,NA,100,122,23.30684932,L,REG,21-22
CHA,2021-12-13,@DAL,"KENNARD, LUKE",28,11,4,0,4,2,1,0,1,4,7,0.5714285714,3,5,0.6,0,0,NA,2,DAL,0,18,NA,100,122,25.47123288,L,REG,21-22
CHA,2021-12-13,@DAL,"SENGUN, ALPEREN",26,11,4,2,2,1,4,1,3,5,11,0.4545454545,0,0,NA,1,2,0.5,1,DAL,0,21,NA,100,122,19.38630137,L,REG,21-22
CHA,2021-12-13,@DAL,"HOLIDAY, JUSTIN",27,7,2,0,2,3,1,0,1,2,3,0.6666666667,2,3,0.6666666667,1,2,0.5,2,DAL,0,13,NA,100,122,32.69041096,L,REG,21-22
CHA,2021-12-13,@DAL,"BERTANS, DAVIS",19,6,1,0,1,1,0,0,1,1,6,0.1666666667,1,5,0.2,3,3,1,6,DAL,0,8,NA,100,122,29.08493151,L,REG,21-22
CHA,2021-12-13,@DAL,"JONES, DERRICK",16,2,6,3,3,1,0,1,1,1,3,0.3333333333,0,0,NA,0,0,NA,3,DAL,0,10,NA,100,122,24.82465753,L,REG,21-22
CHA,2021-12-13,@DAL,"MCDANIELS, JALEN",14,2,3,0,3,0,1,1,0,1,2,0.5,0,1,0,0,0,NA,0,DAL,0,7,NA,100,122,23.86575342,L,REG,21-22
CHA,2021-12-15,@SAS,"GRAHAM, DEVONTE",35,15,1,1,0,5,1,0,3,6,14,0.4285714286,3,8,0.375,0,0,NA,2,SAS,0,22,NA,71,95,26.8109589,L,REG,21-22
CHA,2021-12-15,@SAS,"PRINCE, TAUREAN",21,11,4,0,4,1,0,2,1,5,8,0.625,1,4,0.25,0,0,NA,2,SAS,0,18,NA,71,95,27.73424658,L,REG,21-22
CHA,2021-12-15,@SAS,"HOLIDAY, JUSTIN",28,10,1,0,1,2,1,0,1,4,4,1,2,2,1,0,0,NA,1,SAS,0,14,NA,71,95,32.69589041,L,REG,21-22
CHA,2021-12-15,@SAS,"SENGUN, ALPEREN",27,10,12,4,8,1,0,0,4,5,15,0.3333333333,0,0,NA,0,0,NA,3,SAS,0,23,NA,71,95,19.39178082,L,REG,21-22
CHA,2021-12-15,@SAS,"JONES, DERRICK",15,6,0,0,0,0,0,0,2,2,3,0.6666666667,1,1,1,1,2,0.5,2,SAS,0,6,NA,71,95,24.83013699,L,REG,21-22
CHA,2021-12-15,@SAS,"BERTANS, DAVIS",22,5,3,0,3,1,0,0,1,2,6,0.3333333333,1,5,0.2,0,0,NA,0,SAS,0,9,NA,71,95,29.09041096,L,REG,21-22
CHA,2021-12-15,@SAS,"KENNARD, LUKE",29,4,3,0,3,1,0,0,2,1,7,0.1428571429,1,5,0.2,1,2,0.5,0,SAS,0,8,NA,71,95,25.47671233,L,REG,21-22
CHA,2021-12-15,@SAS,"WASHINGTON, PJ",29,4,11,2,9,2,1,1,2,2,14,0.1428571429,0,8,0,0,0,NA,5,SAS,0,19,NA,71,95,23.31232877,L,REG,21-22
CHA,2021-12-15,@SAS,"MALEDON, THEO",21,4,2,0,2,2,0,0,2,2,7,0.2857142857,0,2,0,0,0,NA,2,SAS,0,8,NA,71,95,20.50958904,L,REG,21-22
CHA,2021-12-15,@SAS,"MCDANIELS, JALEN",13,2,3,1,2,0,1,0,0,1,4,0.25,0,2,0,0,0,NA,0,SAS,0,6,NA,71,95,23.87123288,L,REG,21-22
CHA,2021-12-17,@POR,"GRAHAM, DEVONTE",35,22,5,1,4,7,2,0,2,7,16,0.4375,4,8,0.5,4,4,1,2,POR,0,36,NA,98,100,26.81643836,L,REG,21-22
CHA,2021-12-17,@POR,"KENNARD, LUKE",29,13,5,0,5,3,0,0,2,5,14,0.3571428571,3,8,0.375,0,0,NA,2,POR,0,21,NA,98,100,25.48219178,L,REG,21-22
CHA,2021-12-17,@POR,"WASHINGTON, PJ",29,13,8,2,6,4,3,4,1,6,15,0.4,1,7,0.1428571429,0,0,NA,3,POR,0,32,NA,98,100,23.31780822,L,REG,21-22
CHA,2021-12-17,@POR,"JONES, DERRICK",15,12,5,4,1,0,1,0,1,5,9,0.5555555556,2,3,0.6666666667,0,0,NA,2,POR,0,18,NA,98,100,24.83561644,L,REG,21-22
CHA,2021-12-17,@POR,"SENGUN, ALPEREN",27,10,15,3,12,1,0,0,2,5,13,0.3846153846,0,0,NA,0,0,NA,3,POR,0,26,NA,98,100,19.39726027,L,REG,21-22
CHA,2021-12-17,@POR,"PRINCE, TAUREAN",21,9,3,0,3,2,1,1,0,2,7,0.2857142857,0,4,0,5,5,1,1,POR,0,16,NA,98,100,27.73972603,L,REG,21-22
CHA,2021-12-17,@POR,"BERTANS, DAVIS",22,7,2,0,2,2,1,0,0,1,5,0.2,1,4,0.25,4,5,0.8,1,POR,0,12,NA,98,100,29.09589041,L,REG,21-22
CHA,2021-12-17,@POR,"HOLIDAY, JUSTIN",28,6,2,0,2,1,0,0,0,2,5,0.4,2,5,0.4,0,0,NA,2,POR,0,9,NA,98,100,32.70136986,L,REG,21-22
CHA,2021-12-17,@POR,"MALEDON, THEO",21,3,4,0,4,4,0,0,2,1,4,0.25,1,4,0.25,0,0,NA,3,POR,0,11,NA,98,100,20.51506849,L,REG,21-22
CHA,2021-12-17,@POR,"MCDANIELS, JALEN",13,3,2,1,1,0,0,1,0,1,7,0.1428571429,0,3,0,1,2,0.5,0,POR,0,6,NA,98,100,23.87671233,L,REG,21-22
CHA,2021-12-19,@PHX,"GRAHAM, DEVONTE",33,20,0,0,0,5,2,0,2,6,15,0.4,5,13,0.3846153846,3,4,0.75,3,PHX,0,27,NA,101,144,26.82191781,L,REG,21-22
CHA,2021-12-19,@PHX,"WASHINGTON, PJ",29,16,8,1,7,3,1,1,3,6,12,0.5,4,9,0.4444444444,0,0,NA,0,PHX,0,29,NA,101,144,23.32328767,L,REG,21-22
CHA,2021-12-19,@PHX,"SENGUN, ALPEREN",28,14,6,3,3,3,0,0,2,5,13,0.3846153846,0,0,NA,4,4,1,4,PHX,0,23,NA,101,144,19.40273973,L,REG,21-22
CHA,2021-12-19,@PHX,"PRINCE, TAUREAN",18,9,0,0,0,0,1,0,1,3,8,0.375,1,5,0.2,2,3,0.6666666667,2,PHX,0,10,NA,101,144,27.74520548,L,REG,21-22
CHA,2021-12-19,@PHX,"KENNARD, LUKE",29,8,2,0,2,2,1,0,0,2,7,0.2857142857,2,3,0.6666666667,2,2,1,0,PHX,0,13,NA,101,144,25.48767123,L,REG,21-22
CHA,2021-12-19,@PHX,"MALEDON, THEO",22,8,3,0,3,2,0,0,3,2,6,0.3333333333,2,4,0.5,2,2,1,1,PHX,0,13,NA,101,144,20.52054795,L,REG,21-22
CHA,2021-12-19,@PHX,"JONES, DERRICK",15,8,2,2,0,0,1,3,1,3,5,0.6,0,0,NA,2,2,1,0,PHX,0,14,NA,101,144,24.84109589,L,REG,21-22
CHA,2021-12-19,@PHX,"MCDANIELS, JALEN",13,7,1,0,1,1,1,0,0,2,5,0.4,1,3,0.3333333333,2,4,0.5,0,PHX,0,10,NA,101,144,23.88219178,L,REG,21-22
CHA,2021-12-19,@PHX,"HOLIDAY, JUSTIN",31,6,3,0,3,1,0,0,1,2,8,0.25,2,7,0.2857142857,0,0,NA,1,PHX,0,10,NA,101,144,32.70684932,L,REG,21-22
CHA,2021-12-19,@PHX,"BERTANS, DAVIS",22,5,1,0,1,0,0,0,2,2,4,0.5,1,3,0.3333333333,0,0,NA,0,PHX,0,6,NA,101,144,29.10136986,L,REG,21-22
CHA,2021-12-20,@UTA,"GRAHAM, DEVONTE",35,20,2,0,2,11,3,0,0,8,25,0.32,4,20,0.2,0,0,NA,2,UTA,0,36,NA,123,130,26.82465753,L,REG,21-22
CHA,2021-12-20,@UTA,"SENGUN, ALPEREN",29,18,8,5,3,2,2,0,1,6,12,0.5,0,0,NA,6,8,0.75,4,UTA,0,30,NA,123,130,19.40547945,L,REG,21-22
CHA,2021-12-20,@UTA,"MALEDON, THEO",21,18,5,0,5,6,1,0,1,8,12,0.6666666667,2,5,0.4,0,0,NA,3,UTA,0,30,NA,123,130,20.52328767,L,REG,21-22
CHA,2021-12-20,@UTA,"HOLIDAY, JUSTIN",27,15,0,0,0,1,2,0,0,5,9,0.5555555556,2,6,0.3333333333,3,4,0.75,2,UTA,0,18,NA,123,130,32.70958904,L,REG,21-22
CHA,2021-12-20,@UTA,"KENNARD, LUKE",28,14,1,0,1,1,0,0,0,6,10,0.6,2,6,0.3333333333,0,0,NA,3,UTA,0,16,NA,123,130,25.49041096,L,REG,21-22
CHA,2021-12-20,@UTA,"WASHINGTON, PJ",29,13,8,1,7,3,1,1,3,3,10,0.3,2,5,0.4,5,6,0.8333333333,2,UTA,0,26,NA,123,130,23.3260274,L,REG,21-22
CHA,2021-12-20,@UTA,"MCDANIELS, JALEN",13,10,3,0,3,0,1,0,0,4,7,0.5714285714,1,3,0.3333333333,1,2,0.5,3,UTA,0,14,NA,123,130,23.88493151,L,REG,21-22
CHA,2021-12-20,@UTA,"BERTANS, DAVIS",24,9,4,0,4,0,0,0,1,3,11,0.2727272727,2,10,0.2,1,1,1,0,UTA,0,13,NA,123,130,29.10410959,L,REG,21-22
CHA,2021-12-20,@UTA,"PRINCE, TAUREAN",19,4,4,0,4,2,1,1,0,2,4,0.5,0,1,0,0,0,NA,1,UTA,0,12,NA,123,130,27.74794521,L,REG,21-22
CHA,2021-12-20,@UTA,"JONES, DERRICK",15,2,1,0,1,1,0,2,0,1,1,1,0,0,NA,0,0,NA,2,UTA,0,6,NA,123,130,24.84383562,L,REG,21-22
CHA,2021-12-23,@DEN,"WASHINGTON, PJ",30,21,4,0,4,2,2,3,1,7,13,0.5384615385,4,9,0.4444444444,3,3,1,1,DEN,0,32,NA,99,117,23.33424658,L,REG,21-22
CHA,2021-12-23,@DEN,"GRAHAM, DEVONTE",33,18,1,0,1,6,0,0,1,7,16,0.4375,4,13,0.3076923077,0,0,NA,6,DEN,0,25,NA,99,117,26.83287671,L,REG,21-22
CHA,2021-12-23,@DEN,"KENNARD, LUKE",29,12,2,0,2,3,1,0,2,4,13,0.3076923077,2,7,0.2857142857,2,2,1,1,DEN,0,18,NA,99,117,25.49863014,L,REG,21-22
CHA,2021-12-23,@DEN,"MALEDON, THEO",22,11,4,0,4,2,3,0,1,4,11,0.3636363636,1,6,0.1666666667,2,2,1,3,DEN,0,20,NA,99,117,20.53150685,L,REG,21-22
CHA,2021-12-23,@DEN,"SENGUN, ALPEREN",26,9,7,1,6,1,0,0,0,3,7,0.4285714286,0,0,NA,3,3,1,1,DEN,0,17,NA,99,117,19.41369863,L,REG,21-22
CHA,2021-12-23,@DEN,"HOLIDAY, JUSTIN",29,8,2,0,2,2,0,0,2,3,5,0.6,2,3,0.6666666667,0,0,NA,3,DEN,0,12,NA,99,117,32.71780822,L,REG,21-22
CHA,2021-12-23,@DEN,"BERTANS, DAVIS",23,8,3,0,3,0,0,0,3,3,7,0.4285714286,2,6,0.3333333333,0,0,NA,0,DEN,0,11,NA,99,117,29.11232877,L,REG,21-22
CHA,2021-12-23,@DEN,"JONES, DERRICK",15,6,0,0,0,2,0,1,1,3,5,0.6,0,2,0,0,0,NA,0,DEN,0,9,NA,99,117,24.85205479,L,REG,21-22
CHA,2021-12-23,@DEN,"PRINCE, TAUREAN",19,4,2,0,2,1,0,0,2,1,5,0.2,0,2,0,2,3,0.6666666667,3,DEN,0,7,NA,99,117,27.75616438,L,REG,21-22
CHA,2021-12-23,@DEN,"MCDANIELS, JALEN",14,2,4,0,4,1,0,0,1,1,1,1,0,0,NA,0,0,NA,0,DEN,0,7,NA,99,117,23.89315068,L,REG,21-22
CHA,2021-12-27,HOU,"GRAHAM, DEVONTE",34,16,2,0,2,5,1,0,2,6,19,0.3157894737,4,12,0.3333333333,0,0,NA,0,HOU,0,24,NA,79,141,26.84383562,L,REG,21-22
CHA,2021-12-27,HOU,"SENGUN, ALPEREN",29,14,6,0,6,2,1,0,1,7,12,0.5833333333,0,0,NA,0,0,NA,3,HOU,0,23,NA,79,141,19.42465753,L,REG,21-22
CHA,2021-12-27,HOU,"WASHINGTON, PJ",29,13,7,1,6,4,3,1,3,5,13,0.3846153846,2,6,0.3333333333,1,3,0.3333333333,4,HOU,0,28,NA,79,141,23.34520548,L,REG,21-22
CHA,2021-12-27,HOU,"PRINCE, TAUREAN",21,12,4,0,4,0,1,0,3,4,8,0.5,1,3,0.3333333333,3,3,1,0,HOU,0,17,NA,79,141,27.76712329,L,REG,21-22
CHA,2021-12-27,HOU,"MCDANIELS, JALEN",14,9,2,0,2,0,1,0,0,4,6,0.6666666667,0,2,0,1,2,0.5,0,HOU,0,12,NA,79,141,23.90410959,L,REG,21-22
CHA,2021-12-27,HOU,"MALEDON, THEO",22,6,2,0,2,2,1,0,2,2,10,0.2,1,6,0.1666666667,1,2,0.5,0,HOU,0,11,NA,79,141,20.54246575,L,REG,21-22
CHA,2021-12-27,HOU,"BERTANS, DAVIS",22,5,3,0,3,0,0,0,1,1,5,0.2,1,4,0.25,2,2,1,1,HOU,0,8,NA,79,141,29.12328767,L,REG,21-22
CHA,2021-12-27,HOU,"KENNARD, LUKE",28,4,1,0,1,1,0,0,2,2,6,0.3333333333,0,3,0,0,0,NA,2,HOU,0,6,NA,79,141,25.50958904,L,REG,21-22
CHA,2021-12-27,HOU,"HOLIDAY, JUSTIN",26,0,1,0,1,0,1,0,2,0,5,0,0,5,0,0,0,NA,3,HOU,0,2,NA,79,141,32.72876712,L,REG,21-22
CHA,2021-12-27,HOU,"JONES, DERRICK",15,0,2,2,0,0,0,3,0,0,1,0,0,1,0,0,2,0,3,HOU,0,5,NA,79,141,24.8630137,L,REG,21-22
CHA,2021-12-29,@IND,"BERTANS, DAVIS",22,18,2,0,2,0,0,0,1,6,7,0.8571428571,6,7,0.8571428571,0,0,NA,0,IND,0,20,NA,106,109,29.12876712,L,REG,21-22
CHA,2021-12-29,@IND,"GRAHAM, DEVONTE",34,17,0,0,0,7,3,0,0,6,18,0.3333333333,5,16,0.3125,0,0,NA,1,IND,0,27,NA,106,109,26.84931507,L,REG,21-22
CHA,2021-12-29,@IND,"MALEDON, THEO",21,15,2,0,2,3,1,0,0,5,10,0.5,4,7,0.5714285714,1,2,0.5,1,IND,0,21,NA,106,109,20.54794521,L,REG,21-22
CHA,2021-12-29,@IND,"KENNARD, LUKE",28,12,5,0,5,1,0,0,2,4,9,0.4444444444,0,3,0,4,4,1,1,IND,0,18,NA,106,109,25.51506849,L,REG,21-22
CHA,2021-12-29,@IND,"WASHINGTON, PJ",29,11,6,1,5,3,1,4,3,5,13,0.3846153846,1,7,0.1428571429,0,0,NA,1,IND,0,25,NA,106,109,23.35068493,L,REG,21-22
CHA,2021-12-29,@IND,"SENGUN, ALPEREN",27,10,12,6,6,0,1,1,3,5,10,0.5,0,0,NA,0,0,NA,0,IND,0,24,NA,106,109,19.43013699,L,REG,21-22
CHA,2021-12-29,@IND,"PRINCE, TAUREAN",22,9,6,0,6,0,2,1,2,3,9,0.3333333333,3,6,0.5,0,0,NA,2,IND,0,18,NA,106,109,27.77260274,L,REG,21-22
CHA,2021-12-29,@IND,"MCDANIELS, JALEN",14,8,3,1,2,2,0,0,0,2,6,0.3333333333,2,4,0.5,2,2,1,2,IND,0,13,NA,106,109,23.90958904,L,REG,21-22
CHA,2021-12-29,@IND,"HOLIDAY, JUSTIN",28,4,0,0,0,2,0,0,0,1,4,0.25,0,3,0,2,2,1,1,IND,0,6,NA,106,109,32.73424658,L,REG,21-22
CHA,2021-12-29,@IND,"JONES, DERRICK",15,2,3,0,3,0,0,0,1,1,3,0.3333333333,0,2,0,0,0,NA,2,IND,0,5,NA,106,109,24.86849315,L,REG,21-22
CHA,2022-01-02,PHX,"GRAHAM, DEVONTE",38,19,1,0,1,6,3,0,2,7,15,0.4666666667,5,11,0.4545454545,0,0,NA,3,PHX,0,29,NA,84,127,26.86027397,L,REG,21-22
CHA,2022-01-02,PHX,"HOLIDAY, JUSTIN",28,14,0,0,0,1,1,0,2,3,3,1,1,1,1,7,8,0.875,1,PHX,0,16,NA,84,127,32.74520548,L,REG,21-22
CHA,2022-01-02,PHX,"SENGUN, ALPEREN",27,14,7,3,4,2,1,0,3,7,17,0.4117647059,0,0,NA,0,0,NA,0,PHX,0,24,NA,84,127,19.44109589,L,REG,21-22
CHA,2022-01-02,PHX,"BERTANS, DAVIS",19,9,0,0,0,1,0,0,2,2,5,0.4,2,5,0.4,3,3,1,2,PHX,0,10,NA,84,127,29.13972603,L,REG,21-22
CHA,2022-01-02,PHX,"MALEDON, THEO",21,8,0,0,0,3,0,0,4,3,10,0.3,2,7,0.2857142857,0,0,NA,1,PHX,0,11,NA,84,127,20.55890411,L,REG,21-22
CHA,2022-01-02,PHX,"KENNARD, LUKE",29,7,3,0,3,1,0,0,1,3,14,0.2142857143,1,7,0.1428571429,0,1,0,0,PHX,0,11,NA,84,127,25.5260274,L,REG,21-22
CHA,2022-01-02,PHX,"WASHINGTON, PJ",29,6,4,0,4,1,2,0,3,3,8,0.375,0,3,0,0,0,NA,2,PHX,0,13,NA,84,127,23.36164384,L,REG,21-22
CHA,2022-01-02,PHX,"PRINCE, TAUREAN",21,4,5,0,5,2,1,0,3,1,4,0.25,0,1,0,2,2,1,2,PHX,0,12,NA,84,127,27.78356164,L,REG,21-22
CHA,2022-01-02,PHX,"JONES, DERRICK",15,3,1,1,0,1,0,2,0,1,1,1,1,1,1,0,0,NA,5,PHX,0,7,NA,84,127,24.87945205,L,REG,21-22
CHA,2022-01-02,PHX,"MCDANIELS, JALEN",13,0,8,1,7,0,1,0,0,0,2,0,0,0,NA,0,0,NA,1,PHX,0,9,NA,84,127,23.92054795,L,REG,21-22
CHA,2022-01-03,@WAS,"KENNARD, LUKE",31,24,5,0,5,2,0,0,1,8,10,0.8,5,6,0.8333333333,3,3,1,3,WAS,0,31,NA,131,135,25.52876712,L,REG,21-22
CHA,2022-01-03,@WAS,"WASHINGTON, PJ",30,23,5,0,5,2,0,3,1,8,13,0.6153846154,4,6,0.6666666667,3,3,1,2,WAS,0,33,NA,131,135,23.36438356,L,REG,21-22
CHA,2022-01-03,@WAS,"BERTANS, DAVIS",23,22,1,0,1,2,0,0,1,6,10,0.6,4,8,0.5,6,6,1,5,WAS,0,25,NA,131,135,29.14246575,L,REG,21-22
CHA,2022-01-03,@WAS,"MALEDON, THEO",21,15,2,0,2,3,0,0,3,5,9,0.5555555556,3,6,0.5,2,4,0.5,2,WAS,0,20,NA,131,135,20.56164384,L,REG,21-22
CHA,2022-01-03,@WAS,"GRAHAM, DEVONTE",35,12,8,0,8,10,0,0,3,5,15,0.3333333333,2,7,0.2857142857,0,0,NA,4,WAS,0,30,NA,131,135,26.8630137,L,REG,21-22
CHA,2022-01-03,@WAS,"PRINCE, TAUREAN",23,11,3,0,3,3,1,1,1,3,5,0.6,1,3,0.3333333333,4,4,1,2,WAS,0,19,NA,131,135,27.78630137,L,REG,21-22
CHA,2022-01-03,@WAS,"MCDANIELS, JALEN",13,11,7,3,4,1,2,0,2,3,5,0.6,1,3,0.3333333333,4,4,1,1,WAS,0,21,NA,131,135,23.92328767,L,REG,21-22
CHA,2022-01-03,@WAS,"SENGUN, ALPEREN",26,8,8,3,5,3,1,0,1,3,8,0.375,0,0,NA,2,2,1,1,WAS,0,20,NA,131,135,19.44383562,L,REG,21-22
CHA,2022-01-03,@WAS,"HOLIDAY, JUSTIN",23,5,0,0,0,1,0,0,1,1,1,1,1,1,1,2,2,1,6,WAS,0,6,NA,131,135,32.74794521,L,REG,21-22
