TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,GAME,ROUND,gametype
BKN,2024-04-24,DET,"DURANT, KEVIN",35,22,9,1,8,4,1,0,4,8,16,0.5,1,3,0.3333333333333333,5,5,1,1,DET,0,36,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"WHITE, DERRICK",23,22,8,0,8,6,0,0,2,7,9,0.7777777777777778,2,2,1,6,6,1,1,DET,0,36,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"WILLIAMSON, ZION",31,14,4,0,4,2,2,0,1,7,8,0.875,0,0,NA,0,0,NA,2,DET,0,22,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"CLAXTON, NICOLAS",32,14,10,2,8,1,0,4,1,7,7,1,0,0,NA,0,0,NA,4,DET,0,29,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"BALL, LONZO",32,12,2,1,1,7,1,0,5,4,14,0.2857142857142857,1,4,0.25,3,4,0.75,2,DET,0,22,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"BRAUN, CHRISTIAN",31,7,5,0,5,2,0,0,1,3,13,0.23076923076923078,1,2,0.5,0,0,NA,0,DET,0,14,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"CARUSO, ALEX",16,6,4,0,4,2,0,0,0,3,6,0.5,0,1,0,0,0,NA,0,DET,0,12,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"WILLIAMS, KENRICH",10,6,1,0,1,0,0,0,1,3,4,0.75,0,0,NA,0,0,NA,1,DET,0,7,,109,104,30.30874316939891,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"ZUBAC, IVICA",16,3,7,2,5,0,0,3,0,1,2,0.5,0,0,NA,1,2,0.5,1,DET,0,13,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-24,DET,"THYBULLE, MATISSE",14,3,2,0,2,2,0,0,0,1,4,0.25,0,0,NA,1,2,0.5,1,DET,0,7,,109,104,NA,W,1,1,PLAYOFF
BKN,2024-04-28,DET,"WILLIAMSON, ZION",29,33,5,0,5,1,0,0,2,15,17,0.8823529411764706,1,1,1,2,3,0.6666666666666666,1,DET,0,39,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"DURANT, KEVIN",34,20,2,0,2,6,1,2,4,9,19,0.47368421052631576,2,6,0.3333333333333333,0,0,NA,5,DET,0,31,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"CLAXTON, NICOLAS",34,15,12,3,9,0,0,3,3,6,6,1,0,0,NA,3,4,0.75,0,DET,0,30,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"WHITE, DERRICK",16,14,3,0,3,5,0,0,2,4,7,0.5714285714285714,2,2,1,4,4,1,0,DET,0,22,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"BRAUN, CHRISTIAN",34,11,5,1,4,3,1,2,1,2,9,0.2222222222222222,0,3,0,7,8,0.875,1,DET,0,22,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"BALL, LONZO",33,6,4,0,4,11,1,0,0,3,10,0.3,0,2,0,0,0,NA,0,DET,0,22,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"ZUBAC, IVICA",17,6,6,2,4,0,0,3,0,3,4,0.75,0,0,NA,0,0,NA,2,DET,0,15,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"THYBULLE, MATISSE",13,5,1,0,1,1,2,0,3,2,2,1,1,1,1,0,0,NA,2,DET,0,9,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"CARUSO, ALEX",18,4,2,1,1,1,0,0,0,1,3,0.3333333333333333,0,0,NA,2,4,0.5,0,DET,0,7,,118,95,NA,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"WILLIAMS, KENRICH",11,4,4,0,4,0,1,0,0,2,5,0.4,0,1,0,0,0,NA,1,DET,0,9,,118,95,30.31967213114754,W,2,1,PLAYOFF
BKN,2024-04-28,DET,"RICHARDS, NICK",1,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,DET,0,0,,118,95,26.41256830601093,W,2,1,PLAYOFF
BKN,2024-05-02,@DET,"BALL, LONZO",35,29,2,0,2,8,2,0,2,11,21,0.5238095238095238,2,5,0.4,5,7,0.7142857142857143,2,DET,0,41,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"WHITE, DERRICK",19,23,4,1,3,2,0,1,3,9,12,0.75,1,2,0.5,4,4,1,0,DET,0,30,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"BRAUN, CHRISTIAN",30,15,5,2,3,2,1,0,1,6,13,0.46153846153846156,0,0,NA,3,3,1,0,DET,0,23,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"DURANT, KEVIN",32,14,6,0,6,3,0,1,2,7,13,0.5384615384615384,0,2,0,0,0,NA,3,DET,0,24,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"CARUSO, ALEX",19,10,1,0,1,4,1,0,1,5,9,0.5555555555555556,0,0,NA,0,0,NA,1,DET,0,16,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"WILLIAMSON, ZION",30,9,5,1,4,8,0,0,1,3,10,0.3,0,0,NA,3,4,0.75,5,DET,0,22,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"ZUBAC, IVICA",19,9,7,2,5,0,1,2,0,4,4,1,0,0,NA,1,3,0.3333333333333333,0,DET,0,19,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"WILLIAMS, KENRICH",9,7,1,0,1,3,0,0,0,3,4,0.75,0,0,NA,1,2,0.5,0,DET,0,11,,123,121,30.330601092896174,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"CLAXTON, NICOLAS",34,4,12,2,10,1,0,5,1,1,2,0.5,0,0,NA,2,2,1,3,DET,0,22,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-02,@DET,"THYBULLE, MATISSE",13,3,2,0,2,2,1,0,0,1,2,0.5,1,2,0.5,0,0,NA,1,DET,0,8,,123,121,NA,W,3,1,PLAYOFF
BKN,2024-05-06,@DET,"DURANT, KEVIN",34,24,5,0,5,8,0,1,0,6,10,0.6,0,1,0,12,12,1,2,DET,0,38,,107,100,NA,W,4,1,PLAYOFF
