TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
ATL,2021-07-24,@DAL,"HOLMES, RICHAUN",29,2,11,2,9,0,0,2,1,1,3,0.3333333333,0,0,NA,0,0,NA,5,DAL,0,15,NA,126,122,27.77260274,W,PLAYOFF,3,4,20-21
ATL,2021-07-25,@DAL,"POWELL, NORMAN",39,34,6,0,6,8,2,0,1,12,16,0.75,6,7,0.8571428571,4,4,1,1,DAL,0,50,NA,155,97,28.16712329,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"YOUNG, TRAE",34,27,4,2,2,12,1,1,1,11,16,0.6875,3,5,0.6,2,2,1,2,DAL,0,45,NA,155,97,22.84657534,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"GEORGE, PAUL",32,22,4,2,2,3,2,1,1,9,16,0.5625,1,3,0.3333333333,3,3,1,0,DAL,0,32,NA,155,97,31.23013699,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"DAVIS, ANTHONY",32,22,12,1,11,5,0,3,1,7,17,0.4117647059,4,5,0.8,4,4,1,4,DAL,0,42,NA,155,97,28.37260274,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"HARDAWAY, TIM",19,16,3,0,3,2,0,0,0,5,6,0.8333333333,4,5,0.8,2,2,1,2,DAL,0,21,NA,155,97,23.45753425,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"GRANT, JERAMI",30,13,11,1,10,6,0,1,1,6,9,0.6666666667,1,3,0.3333333333,0,0,NA,3,DAL,0,31,NA,155,97,27.36986301,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"ROSE, DERRICK",18,11,0,0,0,4,0,0,0,5,10,0.5,1,2,0.5,0,0,NA,0,DAL,0,15,NA,155,97,32.80547945,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"HOLMES, RICHAUN",31,8,10,1,9,3,0,1,0,4,5,0.8,0,0,NA,0,0,NA,0,DAL,0,22,NA,155,97,27.77534247,W,PLAYOFF,4,4,20-21
ATL,2021-07-25,@DAL,"OQUINN, KYLE",1,2,0,0,0,0,0,0,0,0,1,0,0,0,NA,2,2,1,1,DAL,0,2,NA,155,97,31.33150685,W,PLAYOFF,4,4,20-21
