TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND
ATL,4/16/2022,@MIA,"DAVIS, ANTHONY",31,27,16,3,13,4,1,1,0,13,20,0.65,0,1,0,1,2,0.5,0,MIA,0,49,,132,77,29.09863014,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"YOUNG, TRAE",38,26,3,1,2,12,1,0,0,11,16,0.6875,4,6,0.6666666667,0,0,,0,MIA,0,42,,132,77,23.57260274,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"GEORGE, PAUL",27,18,8,1,7,3,1,0,1,7,14,0.5,2,4,0.5,2,2,1,0,MIA,0,30,,132,77,31.95616438,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"HORFORD, AL",34,10,9,0,9,2,0,2,0,5,6,0.8333333333,0,0,,0,0,,1,MIA,0,23,,132,77,35.86849315,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"ANTHONY, CARMELO",21,10,3,0,3,3,0,0,0,5,9,0.5555555556,0,0,,0,0,,0,MIA,0,16,,132,77,37.88219178,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"POWELL, NORMAN",25,9,3,0,3,5,0,0,0,4,8,0.5,1,2,0.5,0,0,,1,MIA,0,17,,132,77,28.89315068,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"HARDAWAY, TIM",13,9,2,0,2,2,0,0,0,3,6,0.5,1,3,0.3333333333,2,2,1,0,MIA,0,13,,132,77,24.18356164,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"CALDWELL-POPE, KENTAVIOUS",12,9,1,0,1,4,2,0,0,3,3,1,1,1,1,2,2,1,0,MIA,0,16,,132,77,29.15616438,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"GRANT, JERAMI",15,8,4,2,2,2,0,1,0,4,8,0.5,0,1,0,0,0,,0,MIA,0,15,,132,77,28.09589041,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"SMITH, ISH",10,4,1,0,1,3,1,0,0,2,2,1,0,0,,0,0,,0,MIA,0,9,,132,77,33.78082192,W,PLAYOFF,1,1
ATL,4/16/2022,@MIA,"ZELLER, CODY",14,2,5,1,4,0,0,0,1,1,2,0.5,0,0,,0,0,,0,MIA,0,7,,132,77,29.52876712,W,PLAYOFF,1,1
