TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype
ATL,12/6/2021,@MIN,"POWELL, NORMAN",30,12,0,0,0,0,1,0,1,4,8,0.5,1,4,0.25,3,3,1,2,MIN,0,13,,125,103,28.53424658,W,REG
ATL,12/6/2021,@MIN,"HARDAWAY, TIM",20,10,3,0,3,2,0,0,0,4,10,0.4,1,6,0.1666666667,1,2,0.5,0,MIN,0,15,,125,103,23.82465753,W,REG
ATL,12/6/2021,@MIN,"SMITH, ISH",11,6,3,0,3,4,2,0,0,3,3,1,0,0,,0,0,,1,MIN,0,15,,125,103,33.42191781,W,REG
ATL,12/6/2021,@MIN,"CALDWELL-POPE, KENTAVIOUS",10,6,3,0,3,0,1,0,0,3,4,0.75,0,1,0,0,0,,2,MIN,0,10,,125,103,28.79726027,W,REG
ATL,12/6/2021,@MIN,"ZELLER, CODY",12,4,1,0,1,4,1,3,0,2,3,0.6666666667,0,0,,0,0,,1,MIN,0,13,,125,103,29.16986301,W,REG
ATL,12/6/2021,@MIN,"FORBES, BRYN",6,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,,0,MIN,0,1,,125,103,28.37260274,W,REG
ATL,12/10/2021,BKN,"YOUNG, TRAE",34,37,5,0,5,6,2,0,6,14,23,0.6086956522,5,12,0.4166666667,4,4,1,0,BKN,0,50,,117,99,23.22465753,W,REG
ATL,12/10/2021,BKN,"POWELL, NORMAN",30,13,2,0,2,3,2,1,1,5,7,0.7142857143,3,4,0.75,0,0,,4,BKN,0,21,,117,99,28.54520548,W,REG
ATL,12/10/2021,BKN,"GEORGE, PAUL",31,13,4,1,3,7,5,2,2,5,13,0.3846153846,3,6,0.5,0,0,,5,BKN,0,31,,117,99,31.60821918,W,REG
ATL,12/10/2021,BKN,"ANTHONY, CARMELO",30,13,1,0,1,1,1,0,1,4,7,0.5714285714,3,5,0.6,2,2,1,4,BKN,0,16,,117,99,37.53424658,W,REG
ATL,12/10/2021,BKN,"CALDWELL-POPE, KENTAVIOUS",10,12,2,0,2,0,1,0,1,4,7,0.5714285714,4,6,0.6666666667,0,0,,0,BKN,0,15,,117,99,28.80821918,W,REG
ATL,12/10/2021,BKN,"GRANT, JERAMI",24,10,5,1,4,1,3,1,3,4,8,0.5,1,2,0.5,1,1,1,0,BKN,0,20,,117,99,27.74794521,W,REG
ATL,12/10/2021,BKN,"DAVIS, ANTHONY",32,9,15,4,11,3,1,0,1,3,8,0.375,1,2,0.5,2,2,1,5,BKN,0,28,,117,99,28.75068493,W,REG
ATL,12/10/2021,BKN,"HARDAWAY, TIM",20,4,1,0,1,1,0,0,2,1,4,0.25,0,1,0,2,4,0.5,1,BKN,0,6,,117,99,23.83561644,W,REG
ATL,12/10/2021,BKN,"SMITH, ISH",10,4,1,0,1,2,0,0,0,2,5,0.4,0,0,,0,0,,1,BKN,0,7,,117,99,33.43287671,W,REG
ATL,12/10/2021,BKN,"ZELLER, CODY",12,2,2,1,1,1,0,0,1,1,3,0.3333333333,0,0,,0,0,,1,BKN,0,5,,117,99,29.18082192,W,REG
ATL,12/10/2021,BKN,"FORBES, BRYN",7,0,0,0,0,1,1,0,0,0,0,,0,0,,0,0,,3,BKN,0,2,,117,99,28.38356164,W,REG
ATL,12/13/2021,HOU,"GRANT, JERAMI",23,24,3,1,2,0,0,0,0,8,11,0.7272727273,3,5,0.6,5,6,0.8333333333,1,HOU,0,27,,132,115,27.75616438,W,REG
ATL,12/13/2021,HOU,"YOUNG, TRAE",35,21,1,0,1,7,1,0,2,5,11,0.4545454545,2,5,0.4,9,10,0.9,2,HOU,0,30,,132,115,23.23287671,W,REG
ATL,12/13/2021,HOU,"DAVIS, ANTHONY",33,21,5,0,5,3,2,3,6,9,12,0.75,0,1,0,3,3,1,3,HOU,0,34,,132,115,28.75890411,W,REG
ATL,12/13/2021,HOU,"POWELL, NORMAN",30,17,6,0,6,0,2,0,3,7,11,0.6363636364,3,3,1,0,1,0,2,HOU,0,25,,132,115,28.55342466,W,REG
ATL,12/13/2021,HOU,"GEORGE, PAUL",31,15,8,1,7,7,2,0,4,5,11,0.4545454545,3,5,0.6,2,2,1,2,HOU,0,32,,132,115,31.61643836,W,REG
ATL,12/13/2021,HOU,"ANTHONY, CARMELO",30,11,10,0,10,3,1,2,1,5,10,0.5,1,4,0.25,0,0,,2,HOU,0,27,,132,115,37.54246575,W,REG
ATL,12/13/2021,HOU,"HARDAWAY, TIM",19,8,4,0,4,1,0,0,0,2,5,0.4,2,4,0.5,2,2,1,3,HOU,0,13,,132,115,23.84383562,W,REG
ATL,12/13/2021,HOU,"SMITH, ISH",10,6,3,1,2,5,0,0,0,3,5,0.6,0,0,,0,0,,2,HOU,0,14,,132,115,33.44109589,W,REG
ATL,12/13/2021,HOU,"ZELLER, CODY",12,4,2,0,2,3,0,0,1,2,2,1,0,0,,0,4,0,0,HOU,0,9,,132,115,29.1890411,W,REG
ATL,12/13/2021,HOU,"FORBES, BRYN",7,3,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,,2,HOU,0,3,,132,115,28.39178082,W,REG
ATL,12/13/2021,HOU,"CALDWELL-POPE, KENTAVIOUS",10,2,0,0,0,1,0,0,1,1,3,0.3333333333,0,2,0,0,0,,2,HOU,0,3,,132,115,28.81643836,W,REG
ATL,12/15/2021,@ORL,"YOUNG, TRAE",35,20,7,3,4,13,0,0,1,7,18,0.3888888889,1,6,0.1666666667,5,6,0.8333333333,5,ORL,0,40,,118,97,23.23835616,W,REG
