TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL
ATL,4/11/2021,ORL,"DAVIS, ANTHONY",36,22,20,5,15,2,2,2,6,10,17,0.5882352941,1,3,0.3333333333,1,1,1,2,ORL,0,48,,107,85,28.08493151,W
ATL,4/25/2021,NYK,"HOLMES, RICHAUN",32,9,20,7,13,0,1,1,2,3,3,1,0,0,,3,4,0.75,2,NYK,0,31,,126,108,27.5260274,W
BOS,5/7/2021,@WAS,"VALANCIUNAS, JONAS",37,10,20,7,13,3,1,2,4,3,9,0.3333333333,0,0,,4,6,0.6666666667,3,WAS,0,36,,124,122,29.00273973,W
BOS,5/27/2021,@DET,"VALANCIUNAS, JONAS",28,13,20,8,12,3,1,2,2,6,12,0.5,0,0,,1,1,1,2,DET,0,39,,124,110,29.05753425,W
BOS,5/29/2021,CHI,"VALANCIUNAS, JONAS",29,6,20,5,15,5,0,2,1,3,5,0.6,0,0,,0,0,,1,CHI,0,33,,141,90,29.0630137,W
CLE,4/22/2021,SAS,"THOMPSON, TRISTAN",34,12,20,6,14,1,0,0,0,5,10,0.5,0,0,,2,2,1,5,SAS,0,33,,125,115,30.10958904,W
CLE,5/22/2021,@GSW,"THOMPSON, TRISTAN",32,8,20,8,12,2,0,0,1,3,9,0.3333333333,0,2,0,2,2,1,0,GSW,0,30,,114,97,30.19178082,W
DAL,2/11/2021,@LAL,"DRUMMOND, ANDRE",44,26,20,5,15,4,5,1,1,12,20,0.6,0,0,,2,5,0.4,3,LAL,0,56,,123,97,27.50684932,W
DAL,5/20/2021,@BKN,"DRUMMOND, ANDRE",35,12,20,6,14,2,1,2,0,5,8,0.625,0,0,,2,2,1,3,BKN,0,37,,114,126,27.77534247,L
DEN,5/9/2021,@MIA,"JOKIC, NIKOLA",35,14,20,2,18,8,1,1,0,5,11,0.4545454545,1,2,0.5,3,3,1,1,MIA,0,44,,109,112,26.21643836,L
DEN,5/11/2021,SAS,"JOKIC, NIKOLA",35,32,20,8,12,10,2,2,3,10,18,0.5555555556,3,8,0.375,9,9,1,2,SAS,1,66,,133,110,26.22191781,W
DET,2/22/2021,CLE,"WOOD, CHRISTIAN",35,34,20,9,11,3,0,2,2,14,30,0.4666666667,6,16,0.375,0,0,,2,CLE,0,59,,102,119,25.40547945,L
HOU,3/16/2021,DAL,"VUCEVIC, NIKOLA",42,16,20,3,17,4,2,3,3,6,12,0.5,1,2,0.5,3,4,0.75,2,DAL,0,45,,115,127,30.39178082,L
LAL,12/1/2020,@LAC,"JORDAN, DEANDRE",31,27,20,8,12,1,0,2,0,11,14,0.7857142857,0,0,,5,6,0.8333333333,0,LAC,0,50,,132,125,32.36438356,W
MIL,12/13/2020,@BOS,"ANTETOKOUNMPO, GIANNIS",36,23,20,10,10,6,1,3,5,7,22,0.3181818182,3,13,0.2307692308,6,10,0.6,2,BOS,0,53,,77,99,26.01917808,L
MIL,12/18/2020,@MIN,"ANTETOKOUNMPO, GIANNIS",34,17,20,7,13,7,0,3,0,7,17,0.4117647059,1,7,0.1428571429,2,6,0.3333333333,2,MIN,0,47,,100,85,26.03287671,W
MIL,2/12/2021,@CHI,"ANTETOKOUNMPO, GIANNIS",32,25,20,6,14,5,2,1,3,11,19,0.5789473684,1,5,0.2,2,2,1,1,CHI,0,53,,114,108,26.18630137,W
MIL,4/15/2021,@CHA,"ANTETOKOUNMPO, GIANNIS",41,34,20,3,17,8,1,1,3,11,25,0.44,4,13,0.3076923077,8,10,0.8,5,CHA,0,64,,127,91,26.35616438,W
MIL,4/22/2021,@PHX,"ANTETOKOUNMPO, GIANNIS",34,31,20,9,11,6,1,4,4,11,18,0.6111111111,2,5,0.4,7,12,0.5833333333,0,PHX,0,62,,123,101,26.37534247,W
MIN,2/12/2021,BKN,"TOWNS, KARL-ANTHONY",34,22,20,6,14,9,0,1,2,6,14,0.4285714286,4,12,0.3333333333,6,6,1,0,BKN,0,52,,123,98,25.24383562,W
MIN,5/4/2021,@UTA,"ACHIUWA, PRECIOUS",28,14,20,12,8,2,0,3,3,7,13,0.5384615385,0,0,,0,0,,4,UTA,0,39,,96,98,21.62191781,L
SAC,12/11/2020,DEN,"CAPELA, CLINT",39,15,20,11,9,1,1,2,2,6,10,0.6,0,0,,3,9,0.3333333333,3,DEN,0,39,,140,118,26.56712329,W
SAC,12/29/2020,@LAL,"CAPELA, CLINT",32,13,20,4,16,4,1,2,1,5,5,1,0,0,,3,4,0.75,1,LAL,0,40,,138,112,26.61643836,W
SAC,2/3/2021,@MEM,"CAPELA, CLINT",39,7,20,7,13,4,2,5,1,3,7,0.4285714286,0,0,,1,2,0.5,3,MEM,0,38,,128,113,26.71506849,W
SAC,2/8/2021,MIN,"CAPELA, CLINT",37,8,20,3,17,0,1,4,0,4,4,1,0,0,,0,0,,2,MIN,0,33,,116,84,26.72876712,W
UTA,12/26/2020,BKN,"CARTER, WENDELL",33,18,20,9,11,1,0,0,0,8,16,0.5,0,0,,2,3,0.6666666667,3,BKN,0,39,,132,143,21.69589041,L
ATL,4/21/2021,@MEM,"DAVIS, ANTHONY",36,23,19,5,14,3,2,2,4,9,14,0.6428571429,3,6,0.5,2,2,1,2,MEM,0,49,,127,92,28.11232877,W
BOS,1/22/2021,CLE,"VALANCIUNAS, JONAS",35,9,19,4,15,3,0,2,0,3,9,0.3333333333,0,0,,3,4,0.75,5,CLE,0,33,,111,86,28.71506849,W
BOS,2/4/2021,CHA,"VALANCIUNAS, JONAS",33,19,19,1,18,1,0,1,2,8,12,0.6666666667,0,0,,3,3,1,0,CHA,0,40,,141,111,28.75068493,W
BOS,3/29/2021,LAC,"VALANCIUNAS, JONAS",35,14,19,4,15,6,0,0,1,6,7,0.8571428571,0,0,,2,2,1,3,LAC,0,39,,134,118,28.89589041,W
CHA,12/3/2020,@NOP,"BAYNES, ARON",41,8,19,2,17,2,1,3,0,2,18,0.1111111111,0,10,0,4,5,0.8,6,NOP,0,33,,129,125,33.98360656,W
CHI,1/22/2021,TOR,"GOBERT, RUDY",31,6,19,7,12,2,0,4,1,2,8,0.25,0,1,0,2,2,1,2,TOR,0,31,,92,111,28.57534247,L
CHI,3/16/2021,@BKN,"GOBERT, RUDY",31,26,19,8,11,0,2,3,2,13,16,0.8125,0,0,,0,0,,3,BKN,0,50,,122,123,28.72054795,L
CLE,2/17/2021,OKC,"THOMPSON, TRISTAN",31,15,19,8,11,1,0,0,1,6,10,0.6,0,0,,3,3,1,1,OKC,0,35,,114,122,29.93424658,L
CLE,3/19/2021,NYK,"THOMPSON, TRISTAN",31,4,19,8,11,3,1,1,2,1,4,0.25,0,1,0,2,3,0.6666666667,0,NYK,0,28,,92,85,30.01643836,W
CLE,4/9/2021,MIA,"THOMPSON, TRISTAN",33,11,19,7,12,0,1,4,2,5,14,0.3571428571,0,0,,1,3,0.3333333333,1,MIA,0,35,,82,96,30.0739726,L
CLE,4/11/2021,PHI,"THOMPSON, TRISTAN",36,5,19,3,16,0,0,2,2,2,6,0.3333333333,0,0,,1,2,0.5,4,PHI,0,26,,84,114,30.07945205,L
DET,1/10/2021,@CHA,"WOOD, CHRISTIAN",34,15,19,9,10,0,0,1,5,4,12,0.3333333333,3,6,0.5,4,6,0.6666666667,5,CHA,0,35,,105,109,25.28767123,L
DET,3/12/2021,CLE,"WOOD, CHRISTIAN",34,21,19,7,12,0,0,1,2,8,14,0.5714285714,3,6,0.5,2,3,0.6666666667,3,CLE,0,41,,101,107,25.45479452,L
GSW,2/2/2021,NOP,"MARKKANEN, LAURI",32,6,19,3,16,0,0,0,3,2,10,0.2,0,2,0,2,2,1,1,NOP,0,25,,112,103,23.70136986,W
LAL,2/28/2021,ORL,"COLLINS, JOHN",38,18,19,7,12,0,0,5,2,7,13,0.5384615385,3,6,0.5,1,2,0.5,1,ORL,0,42,,105,91,23.43287671,W
LAL,4/17/2021,PHI,"GOBERT, RUDY",34,7,19,2,17,0,0,1,1,2,8,0.25,0,0,,3,4,0.75,2,PHI,0,27,,111,98,28.80821918,W
MEM,4/24/2021,ORL,"DIENG, GORGUI",32,6,19,7,12,0,1,1,4,2,6,0.3333333333,1,4,0.25,1,2,0.5,0,ORL,0,27,,110,95,31.2630137,W
MEM,5/8/2021,@NOP,"OLYNYK, KELLY",41,20,19,10,9,5,1,0,1,7,12,0.5833333333,3,6,0.5,3,4,0.75,2,NOP,0,45,,101,133,30.05205479,L
