TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX, ,TEAM_PTS,OPP_TEAM_PTS,AGE,WL
MIL,12/3/2020,@PHI,"ANTETOKOUNMPO, GIANNIS",24,26,11,2,9,5,2,2,0,12,17,0.7058823529,2,2,1,0,0,,0,PHI,0,46,,150,83,25.99180328,W
MIL,12/7/2020,@HOU,"ANTETOKOUNMPO, GIANNIS",36,12,11,3,8,5,3,2,0,4,15,0.2666666667,2,6,0.3333333333,2,4,0.5,3,HOU,0,33,,90,102,26.00273973,L
MIL,12/9/2020,MIA,"LOVE, KEVIN",34,28,11,3,8,1,0,0,0,9,15,0.6,6,9,0.6666666667,4,5,0.8,3,MIA,0,40,,136,102,32.25479452,W
MIL,12/22/2020,@UTA,"ANTETOKOUNMPO, GIANNIS",27,39,11,1,10,4,0,3,1,17,18,0.9444444444,0,1,0,5,7,0.7142857143,2,UTA,0,57,,135,88,26.04383562,W
MIL,1/4/2021,POR,"HOWARD, DWIGHT",27,11,11,5,6,1,0,1,0,5,9,0.5555555556,0,0,,1,1,1,1,POR,0,24,,121,114,35.0739726,W
MIL,1/6/2021,DET,"ANTETOKOUNMPO, GIANNIS",37,42,11,4,7,8,3,2,2,13,19,0.6842105263,4,6,0.6666666667,12,20,0.6,4,DET,0,66,,123,105,26.08493151,W
MIL,1/29/2021,DAL,"LOVE, KEVIN",26,8,11,4,7,2,0,1,2,4,11,0.3636363636,0,3,0,0,0,,1,DAL,0,22,,132,110,32.39452055,W
MIL,2/1/2021,LAL,"LOVE, KEVIN",32,32,11,3,8,3,0,0,3,12,20,0.6,4,7,0.5714285714,4,4,1,2,LAL,0,46,,117,101,32.40273973,W
MIL,2/9/2021,@ATL,"ANTETOKOUNMPO, GIANNIS",32,29,11,5,6,11,1,0,2,11,15,0.7333333333,2,5,0.4,5,9,0.5555555556,1,ATL,1,52,,131,99,26.17808219,W
MIL,2/12/2021,@CHI,"HOWARD, DWIGHT",27,16,11,5,6,1,0,2,3,7,13,0.5384615385,0,0,,2,3,0.6666666667,1,CHI,0,30,,114,108,35.18082192,W
MIL,3/9/2021,@CHA,"LOVE, KEVIN",27,5,11,2,9,3,0,0,2,1,6,0.1666666667,1,2,0.5,2,2,1,3,CHA,0,19,,129,115,32.50136986,W
MIL,3/20/2021,@NOP,"HOWARD, DWIGHT",31,5,11,1,10,2,0,3,0,2,5,0.4,0,0,,1,2,0.5,2,NOP,0,21,,114,121,35.27945205,L
MIL,3/30/2021,@DET,"LOVE, KEVIN",28,17,11,3,8,5,0,0,3,5,12,0.4166666667,3,7,0.4285714286,4,6,0.6666666667,1,DET,0,33,,117,94,32.55890411,W
MIL,4/9/2021,@WAS,"ANTETOKOUNMPO, GIANNIS",37,36,11,3,8,4,2,3,1,13,24,0.5416666667,5,12,0.4166666667,5,8,0.625,5,WAS,0,56,,111,110,26.33972603,W
MIL,4/15/2021,@CHA,"LOVE, KEVIN",26,19,11,3,8,2,1,0,3,7,12,0.5833333333,2,4,0.5,3,5,0.6,0,CHA,0,33,,127,91,32.60273973,W
MIL,4/15/2021,@CHA,"OLADIPO, VICTOR",39,12,11,1,10,7,0,1,3,5,16,0.3125,0,6,0,2,2,1,2,CHA,0,31,,127,91,28.94794521,W
MIL,4/30/2021,MIA,"LOVE, KEVIN",24,7,11,3,8,0,1,0,2,1,8,0.125,0,4,0,5,7,0.7142857143,2,MIA,0,19,,108,79,32.64383562,W
MIL,5/18/2021,@TOR,"ANTETOKOUNMPO, GIANNIS",28,11,11,4,7,2,1,1,1,4,12,0.3333333333,0,1,0,3,8,0.375,6,TOR,0,26,,89,93,26.44657534,L
MIL,5/23/2021,BKN,"ADAMS, STEVEN",25,8,11,6,5,2,0,2,1,3,8,0.375,0,0,,2,6,0.3333333333,4,BKN,0,23,,112,121,27.84109589,L
MIN,12/6/2020,@BKN,"TOWNS, KARL-ANTHONY",37,24,11,5,6,5,0,0,1,9,18,0.5,3,10,0.3,3,3,1,4,BKN,0,40,,114,142,25.05753425,L
MIN,12/20/2020,@MEM,"TOWNS, KARL-ANTHONY",38,24,11,3,8,2,2,2,2,7,13,0.5384615385,5,10,0.5,5,7,0.7142857143,3,MEM,0,41,,128,114,25.09589041,W
MIN,12/24/2020,DEN,"TOWNS, KARL-ANTHONY",37,30,11,1,10,3,2,3,0,12,20,0.6,4,10,0.4,2,2,1,3,DEN,0,49,,121,128,25.10684932,L
MIN,1/1/2021,@UTA,"TOWNS, KARL-ANTHONY",38,23,11,5,6,2,0,1,1,7,14,0.5,3,10,0.3,6,6,1,5,UTA,0,37,,93,102,25.12876712,L
MIN,2/10/2021,CLE,"TOWNS, KARL-ANTHONY",41,47,11,3,8,6,0,4,1,15,23,0.652173913,11,18,0.6111111111,6,8,0.75,4,CLE,0,68,,124,122,25.23835616,W
MIN,2/10/2021,CLE,"ACHIUWA, PRECIOUS",33,12,11,3,8,0,1,1,1,4,7,0.5714285714,0,0,,4,5,0.8,4,CLE,0,25,,124,122,21.39452055,W
MIN,2/12/2021,BKN,"ACHIUWA, PRECIOUS",30,19,11,4,7,1,0,0,4,9,13,0.6923076923,0,0,,1,3,0.3333333333,0,BKN,0,31,,123,98,21.4,W
MIN,2/14/2021,@MIL,"BARTON, WILL",39,10,11,3,8,4,0,1,0,2,12,0.1666666667,1,2,0.5,5,5,1,4,MIL,0,26,,106,103,30.10684932,W
MIN,2/24/2021,@HOU,"TOWNS, KARL-ANTHONY",34,31,11,3,8,2,1,1,0,11,16,0.6875,7,12,0.5833333333,2,4,0.5,3,HOU,0,46,,132,117,25.27671233,W
MIN,3/3/2021,TOR,"ACHIUWA, PRECIOUS",30,14,11,4,7,1,0,3,2,7,12,0.5833333333,0,0,,0,2,0,2,TOR,0,29,,86,92,21.45205479,L
MIN,3/24/2021,LAC,"ACHIUWA, PRECIOUS",30,12,11,1,10,2,1,4,3,6,12,0.5,0,0,,0,0,,2,LAC,0,30,,121,110,21.50958904,W
MIN,4/22/2021,NOP,"TOWNS, KARL-ANTHONY",32,25,11,0,11,4,0,3,1,9,17,0.5294117647,2,3,0.6666666667,5,5,1,3,NOP,0,43,,114,121,25.43287671,L
MIN,5/10/2021,SAS,"TOWNS, KARL-ANTHONY",31,24,11,4,7,6,2,2,1,7,18,0.3888888889,5,12,0.4166666667,5,5,1,2,SAS,0,45,,127,104,25.48219178,W
MIN,5/14/2021,LAL,"TOWNS, KARL-ANTHONY",33,18,11,1,10,5,2,1,4,6,15,0.4,1,7,0.1428571429,5,5,1,3,LAL,0,37,,125,105,25.49315068,W
MIN,5/20/2021,DET,"TOWNS, KARL-ANTHONY",33,27,11,2,9,3,0,1,1,9,13,0.6923076923,5,8,0.625,4,5,0.8,2,DET,0,42,,123,88,25.50958904,W
MIN,5/20/2021,DET,"REID, NAZ",16,1,11,3,8,0,1,1,1,0,5,0,0,2,0,1,2,0.5,3,DET,0,14,,123,88,21.73150685,W
MIN,5/26/2021,@LAL,"CROWDER, JAE",35,17,11,2,9,1,0,0,2,6,13,0.4615384615,0,2,0,5,6,0.8333333333,1,LAL,0,29,,95,107,30.88767123,L
NOP,12/3/2020,CHA,"FAVORS, DERRICK",26,4,11,2,9,1,2,0,1,1,2,0.5,0,0,,2,2,1,2,CHA,0,18,,125,129,29.38630137,L
NOP,12/14/2020,DEN,"FAVORS, DERRICK",22,6,11,5,6,0,1,0,0,3,6,0.5,0,0,,0,0,,2,DEN,0,18,,130,124,29.41643836,W
NOP,12/16/2020,@OKC,"FAVORS, DERRICK",24,8,11,5,6,1,0,1,3,3,6,0.5,0,0,,2,4,0.5,3,OKC,0,21,,83,93,29.42191781,L
NOP,12/23/2020,@CHA,"FAVORS, DERRICK",27,2,11,4,7,1,0,0,1,1,2,0.5,0,0,,0,0,,4,CHA,0,14,,129,106,29.44109589,W
NOP,12/28/2020,LAC,"WILLIAMSON, ZION",29,26,11,4,7,0,0,1,2,11,17,0.6470588235,0,0,,4,4,1,4,LAC,0,38,,119,122,20.47945205,L
NOP,1/2/2021,POR,"ALLEN, JARRETT",33,12,11,6,5,0,0,3,0,6,9,0.6666666667,0,0,,0,0,,5,POR,0,26,,128,103,22.70136986,W
NOP,1/10/2021,LAL,"WILLIAMSON, ZION",35,49,11,2,9,6,2,1,1,21,27,0.7777777778,0,0,,7,7,1,4,LAL,0,69,,147,116,20.51506849,W
NOP,1/16/2021,DAL,"FAVORS, DERRICK",23,2,11,4,7,1,0,0,0,1,2,0.5,0,0,,0,2,0,3,DAL,0,14,,126,134,29.50684932,L
NOP,1/26/2021,@PHI,"WILLIAMSON, ZION",39,31,11,4,7,2,0,1,1,13,19,0.6842105263,0,0,,5,8,0.625,4,PHI,0,45,,123,85,20.55890411,W
NOP,2/5/2021,@POR,"KANTER, ENES",22,18,11,2,9,0,0,0,0,8,11,0.7272727273,0,0,,2,2,1,2,POR,0,29,,143,127,28.71506849,W
NOP,2/19/2021,UTA,"BALL, LONZO",32,5,11,0,11,3,1,2,5,2,5,0.4,1,3,0.3333333333,0,0,,4,UTA,0,22,,104,71,23.31506849,W
NOP,2/21/2021,CHI,"KANTER, ENES",20,14,11,6,5,1,0,1,0,4,7,0.5714285714,0,0,,6,6,1,1,CHI,0,27,,148,151,28.75890411,L
NOP,2/26/2021,@DET,"ALLEN, JARRETT",35,8,11,2,9,3,0,0,1,4,5,0.8,0,0,,0,1,0,4,DET,0,22,,121,115,22.85205479,W
NOP,3/16/2021,MEM,"ALLEN, JARRETT",31,15,11,4,7,1,1,1,2,7,10,0.7,0,0,,1,2,0.5,2,MEM,0,29,,126,102,22.90136986,W
NOP,3/18/2021,@HOU,"KANTER, ENES",17,2,11,1,10,0,0,2,0,1,1,1,0,0,,0,0,,2,HOU,0,15,,122,90,28.82739726,W
NOP,3/20/2021,MIL,"ALLEN, JARRETT",33,13,11,4,7,2,1,4,1,5,5,1,0,0,,3,4,0.75,2,MIL,0,31,,121,114,22.91232877,W
NOP,3/29/2021,OKC,"ALLEN, JARRETT",31,11,11,2,9,2,0,3,1,3,5,0.6,0,0,,5,7,0.7142857143,4,OKC,0,27,,129,105,22.9369863,W
NOP,4/6/2021,@POR,"WILLIAMSON, ZION",36,20,11,3,8,4,2,0,2,7,13,0.5384615385,0,0,,6,7,0.8571428571,2,POR,0,37,,124,122,20.75068493,W
NOP,4/10/2021,@LAL,"ALLEN, JARRETT",32,8,11,3,8,0,0,1,0,3,6,0.5,0,0,,2,2,1,1,LAL,0,20,,107,112,22.96986301,L
NOP,4/13/2021,CLE,"WILLIAMSON, ZION",39,30,11,4,7,7,0,0,0,15,23,0.652173913,0,0,,0,2,0,5,CLE,0,48,,154,98,20.76986301,W
NOP,5/5/2021,@MEM,"KANTER, ENES",34,18,11,6,5,1,0,1,1,7,14,0.5,0,0,,4,6,0.6666666667,0,MEM,0,31,,130,100,28.95890411,W
NOP,5/13/2021,@ORL,"HART, JOSH",17,9,11,2,9,2,0,0,1,3,7,0.4285714286,2,2,1,1,2,0.5,1,ORL,0,22,,108,91,26.18630137,W
NOP,5/16/2021,@WAS,"KANTER, ENES",33,13,11,4,7,1,1,0,1,6,11,0.5454545455,0,0,,1,4,0.25,4,WAS,0,26,,114,146,28.9890411,L
NYK,12/9/2020,BOS,"OKONGWU, ONYEKA",24,11,11,3,8,0,0,2,2,4,9,0.4444444444,0,0,,3,4,0.75,3,BOS,0,24,,86,92,19.99453552,L
NYK,12/15/2020,@BOS,"GRIFFIN, BLAKE",30,10,11,2,9,3,0,0,1,4,16,0.25,2,12,0.1666666667,0,0,,3,BOS,0,24,,60,95,31.75068493,L
NYK,12/28/2020,DAL,"OKONGWU, ONYEKA",21,9,11,4,7,2,1,1,0,3,4,0.75,0,0,,3,4,0.75,1,DAL,0,24,,75,117,20.04657534,L
NYK,1/18/2021,DEN,"ROBINSON, MITCHELL",31,18,11,4,7,0,1,4,3,8,13,0.6153846154,0,0,,2,4,0.5,4,DEN,0,34,,96,114,22.8,L
NYK,2/10/2021,@WAS,"OKONGWU, ONYEKA",24,5,11,6,5,0,1,2,0,1,8,0.125,0,0,,3,4,0.75,1,WAS,0,19,,119,114,20.16712329,W
NYK,3/1/2021,PHX,"ROBINSON, MITCHELL",32,9,11,3,8,0,0,3,3,4,4,1,0,0,,1,2,0.5,2,PHX,0,23,,98,110,22.91506849,L
NYK,3/22/2021,ORL,"BARRETT, RJ",34,22,11,2,9,3,3,1,3,10,16,0.625,2,5,0.4,0,0,,1,ORL,0,40,,104,105,20.76986301,L
NYK,3/22/2021,ORL,"ROBINSON, MITCHELL",31,2,11,3,8,2,1,2,0,1,1,1,0,0,,0,1,0,6,ORL,0,18,,104,105,22.97260274,L
NYK,3/24/2021,@DET,"ROBINSON, MITCHELL",34,14,11,4,7,1,0,3,2,7,12,0.5833333333,0,0,,0,0,,3,DET,0,29,,104,113,22.97808219,L
NYK,4/16/2021,HOU,"ROBINSON, MITCHELL",34,10,11,4,7,2,2,1,5,5,6,0.8333333333,0,0,,0,0,,3,HOU,0,26,,95,120,23.04109589,L
NYK,4/18/2021,UTA,"BARRETT, RJ",34,13,11,2,9,1,2,1,0,4,15,0.2666666667,2,6,0.3333333333,3,3,1,1,UTA,0,28,,106,98,20.84383562,W
NYK,4/20/2021,OKC,"OKONGWU, ONYEKA",15,8,11,3,8,1,1,1,1,4,5,0.8,0,0,,0,0,,1,OKC,0,22,,107,95,20.35616438,W
NYK,4/24/2021,@WAS,"BARRETT, RJ",40,21,11,1,10,6,2,1,1,10,24,0.4166666667,1,9,0.1111111111,0,0,,4,WAS,0,41,,105,100,20.86027397,W
OKC,12/6/2020,@UTA,"BAZLEY, DARIUS",32,9,11,0,11,2,1,1,2,4,5,0.8,1,1,1,0,0,,3,UTA,0,24,,124,111,20.48493151,W
OKC,2/9/2021,@CHA,"LOONEY, KEVON",27,6,11,3,8,4,0,1,0,3,10,0.3,0,0,,0,0,,2,CHA,0,22,,122,114,25.00821918,W
OKC,3/10/2021,@MIN,"BAGLEY, MARVIN",32,10,11,1,10,1,0,3,0,2,5,0.4,0,0,,6,6,1,1,MIN,0,25,,101,109,21.9890411,L
OKC,3/14/2021,@SAC,"BAZLEY, DARIUS",25,4,11,1,10,3,2,0,0,1,5,0.2,1,4,0.25,1,3,0.3333333333,1,SAC,0,20,,96,132,20.75342466,L
OKC,4/6/2021,DEN,"HERNANGOMEZ, WILLY",19,7,11,4,7,1,1,0,0,3,7,0.4285714286,0,1,0,1,2,0.5,0,DEN,0,20,,103,118,26.86027397,L
ORL,12/6/2020,CLE,"ISAAC, JONATHAN",31,17,11,3,8,1,2,0,2,6,8,0.75,1,1,1,4,5,0.8,5,CLE,0,31,,117,109,23.17534247,W
ORL,12/13/2020,NYK,"BAMBA, MOHAMED",31,11,11,8,3,1,1,1,1,4,15,0.2666666667,1,8,0.125,2,4,0.5,3,NYK,0,25,,107,106,22.5890411,W
ORL,12/15/2020,MIL,"GORDON, AARON",30,15,11,2,9,2,0,0,0,4,9,0.4444444444,3,5,0.6,4,4,1,4,MIL,0,28,,122,103,25.24657534,W
ORL,12/19/2020,@OKC,"BIRCH, KHEM",21,4,11,1,10,0,1,0,1,1,6,0.1666666667,0,1,0,2,2,1,1,OKC,0,16,,99,76,28.22465753,W
ORL,1/14/2021,GSW,"BAMBA, MOHAMED",33,26,11,7,4,1,1,1,2,9,26,0.3461538462,3,11,0.2727272727,5,7,0.7142857143,2,GSW,0,40,,107,105,22.67671233,W
ORL,1/16/2021,@WAS,"WESTBROOK, RUSSELL",33,14,11,3,8,4,0,0,3,5,20,0.25,1,5,0.2,3,4,0.75,5,WAS,0,29,,109,103,32.17808219,W
ORL,1/17/2021,PHX,"WESTBROOK, RUSSELL",38,17,11,4,7,9,4,0,5,7,21,0.3333333333,3,7,0.4285714286,0,0,,4,PHX,0,41,,89,88,32.18082192,W
ORL,1/30/2021,@UTA,"WESTBROOK, RUSSELL",40,22,11,2,9,6,1,0,1,10,25,0.4,2,5,0.4,0,0,,3,UTA,0,40,,98,120,32.21643836,L
ORL,1/31/2021,@DEN,"BAMBA, MOHAMED",30,16,11,3,8,1,0,1,2,5,17,0.2941176471,2,7,0.2857142857,4,5,0.8,5,DEN,0,29,,94,114,22.72328767,L
ORL,2/21/2021,WAS,"GORDON, AARON",30,13,11,2,9,2,1,0,5,4,7,0.5714285714,1,2,0.5,4,5,0.8,3,WAS,0,27,,110,118,25.43287671,L
ORL,2/28/2021,@LAL,"WESTBROOK, RUSSELL",40,18,11,3,8,8,1,0,4,5,18,0.2777777778,4,7,0.5714285714,4,5,0.8,4,LAL,0,38,,91,105,32.29589041,L
ORL,3/1/2021,@LAC,"GORDON, AARON",30,21,11,4,7,2,0,0,0,8,16,0.5,2,7,0.2857142857,3,6,0.5,4,LAC,0,34,,112,110,25.45479452,W
ORL,3/7/2021,OKC,"WESTBROOK, RUSSELL",41,40,11,2,9,10,0,1,0,18,28,0.6428571429,2,8,0.25,2,2,1,2,OKC,1,62,,139,109,32.31506849,W
ORL,3/21/2021,@BOS,"WESTBROOK, RUSSELL",37,26,11,0,11,5,0,0,4,11,28,0.3928571429,2,7,0.2857142857,2,6,0.3333333333,5,BOS,0,42,,113,109,32.35342466,W
ORL,4/6/2021,DAL,"WESTBROOK, RUSSELL",38,20,11,0,11,6,1,0,4,7,23,0.3043478261,0,6,0,6,6,1,5,DAL,0,38,,104,115,32.39726027,L
ORL,4/13/2021,MIN,"KAMINSKY, FRANK",30,10,11,4,7,3,0,1,2,4,15,0.2666666667,2,8,0.25,0,3,0,1,MIN,0,25,,117,149,28.02465753,L
ORL,4/14/2021,@SAS,"KAMINSKY, FRANK",28,16,11,1,10,5,0,0,0,5,16,0.3125,2,6,0.3333333333,4,6,0.6666666667,2,SAS,0,32,,138,131,28.02739726,W
ORL,4/24/2021,@MEM,"KAMINSKY, FRANK",34,6,11,3,8,1,1,0,1,2,13,0.1538461538,0,6,0,2,2,1,5,MEM,0,19,,95,110,28.05479452,L
PHI,12/29/2020,@OKC,"SIMMONS, BEN",33,18,11,2,9,10,2,1,2,6,10,0.6,0,0,,6,13,0.4615384615,3,OKC,1,42,,115,119,24.44383562,L
PHI,12/31/2020,@CLE,"HACHIMURA, RUI",24,10,11,3,8,2,0,0,1,3,7,0.4285714286,2,2,1,2,2,1,1,CLE,0,23,,123,107,22.89344262,W
PHI,1/25/2021,@BOS,"ZUBAC, IVICA",29,29,11,5,6,1,0,2,1,13,17,0.7647058824,0,0,,3,7,0.4285714286,5,BOS,0,43,,119,103,23.85753425,W
PHI,2/2/2021,DAL,"ZUBAC, IVICA",30,7,11,3,8,0,0,2,1,3,5,0.6,0,0,,1,1,1,4,DAL,0,20,,119,103,23.87945205,W
PHI,2/26/2021,@IND,"SIMMONS, BEN",37,31,11,4,7,6,3,1,4,15,25,0.6,0,0,,1,3,0.3333333333,2,IND,0,52,,96,113,24.60547945,L
PHI,2/28/2021,BKN,"ZUBAC, IVICA",32,33,11,5,6,0,0,1,0,14,22,0.6363636364,0,0,,5,6,0.8333333333,3,BKN,0,45,,112,114,23.95068493,L
PHI,4/7/2021,@MIL,"ZUBAC, IVICA",30,13,11,4,7,1,2,1,1,5,14,0.3571428571,0,0,,3,5,0.6,4,MIL,0,28,,112,132,24.05479452,L
PHI,4/15/2021,@LAC,"ZUBAC, IVICA",31,19,11,4,7,3,0,1,3,6,14,0.4285714286,0,0,,7,12,0.5833333333,1,LAC,0,34,,105,107,24.07671233,L
PHI,4/25/2021,DET,"ZUBAC, IVICA",31,21,11,3,8,1,0,1,1,9,19,0.4736842105,0,0,,3,4,0.75,2,DET,0,34,,122,91,24.10410959,W
PHI,5/3/2021,@CHA,"ZUBAC, IVICA",29,27,11,2,9,1,0,3,0,11,17,0.6470588235,0,0,,5,5,1,4,CHA,0,42,,125,88,24.1260274,W
PHI,5/27/2021,@MEM,"SARIC, DARIO",24,15,11,6,5,3,1,0,4,3,8,0.375,1,2,0.5,8,8,1,4,MEM,0,30,,95,103,27.13424658,L
PHX,12/3/2020,@MIN,"BOOKER, DEVIN",39,29,11,2,9,9,2,0,1,11,21,0.5238095238,3,4,0.75,4,4,1,1,MIN,0,51,,121,96,24.09315068,W
PHX,1/4/2021,NOP,"AYTON, DEANDRE",38,21,11,3,8,2,1,2,3,9,21,0.4285714286,0,0,,3,3,1,1,NOP,0,37,,105,106,22.45205479,L
PHX,1/29/2021,POR,"GILES, HARRY",31,9,11,1,10,1,1,1,0,4,11,0.3636363636,0,0,,1,2,0.5,5,POR,0,23,,115,120,22.77260274,L
PHX,1/30/2021,@LAC,"CULVER, JARRETT",14,5,11,3,8,0,0,0,0,1,4,0.25,1,3,0.3333333333,2,2,1,0,LAC,0,16,,99,113,21.94262295,L
PHX,2/2/2021,@OKC,"GILES, HARRY",31,19,11,4,7,2,2,2,2,9,12,0.75,0,0,,1,2,0.5,3,OKC,0,36,,108,107,22.78356164,W
PHX,2/10/2021,@SAC,"AYTON, DEANDRE",36,23,11,4,7,2,1,1,2,10,18,0.5555555556,0,0,,3,3,1,4,SAC,0,38,,103,109,22.55342466,L
PHX,2/10/2021,@SAC,"JOHNSON, CAMERON",34,5,11,3,8,1,0,2,3,1,4,0.25,1,3,0.3333333333,2,2,1,3,SAC,0,19,,103,109,24.94246575,L
PHX,4/13/2021,DET,"HERNANGOMEZ, WILLY",31,8,11,3,8,1,0,0,4,3,12,0.25,0,1,0,2,3,0.6666666667,5,DET,0,20,,85,123,26.87945205,L
PHX,4/14/2021,GSW,"AYTON, DEANDRE",35,16,11,4,7,3,0,1,0,7,16,0.4375,0,0,,2,4,0.5,4,GSW,0,31,,103,119,22.7260274,L
PHX,4/20/2021,POR,"AYTON, DEANDRE",25,12,11,3,8,2,1,1,1,4,7,0.5714285714,0,0,,4,6,0.6666666667,4,POR,0,27,,122,121,22.74246575,W
PHX,5/11/2021,@PHI,"AYTON, DEANDRE",27,18,11,2,9,1,0,2,0,7,10,0.7,1,1,1,3,6,0.5,5,PHI,0,32,,126,90,22.8,W
PHX,5/25/2021,UTA,"AYTON, DEANDRE",42,15,11,1,10,3,0,3,4,6,18,0.3333333333,0,0,,3,4,0.75,2,UTA,0,32,,89,104,22.83835616,L
PHX,5/27/2021,@HOU,"SMITH, JALEN",37,19,11,3,8,2,1,3,2,8,18,0.4444444444,1,5,0.2,2,4,0.5,2,HOU,0,36,,96,105,21.19726027,L
POR,12/24/2020,ATL,"WHITESIDE, HASSAN",23,6,11,0,11,1,1,2,0,3,6,0.5,0,0,,0,0,,2,ATL,0,21,,84,97,31.53150685,L
POR,12/30/2020,@SAS,"MILLSAP, PAUL",37,10,11,3,8,3,2,0,2,4,7,0.5714285714,2,4,0.5,0,0,,2,SAS,0,26,,111,106,35.8852459,W
POR,1/2/2021,@NOP,"WHITESIDE, HASSAN",31,12,11,3,8,1,2,1,4,5,14,0.3571428571,0,0,,2,4,0.5,3,NOP,0,27,,103,128,31.55616438,L
POR,1/12/2021,CHI,"NURKIC, JUSUF",31,5,11,3,8,4,2,1,0,1,6,0.1666666667,0,0,,3,6,0.5,3,CHI,0,23,,131,122,26.3890411,W
POR,1/19/2021,LAL,"NURKIC, JUSUF",31,14,11,1,10,5,1,2,0,6,10,0.6,0,0,,2,2,1,3,LAL,0,33,,149,152,26.40821918,L
POR,1/23/2021,NYK,"WHITESIDE, HASSAN",25,8,11,2,9,2,1,5,1,4,9,0.4444444444,0,0,,0,0,,1,NYK,0,27,,117,121,31.61369863,L
POR,1/25/2021,@DEN,"WHITESIDE, HASSAN",25,8,11,3,8,3,0,5,0,4,7,0.5714285714,0,0,,0,0,,2,DEN,0,27,,121,119,31.61917808,W
POR,1/31/2021,GSW,"WHITESIDE, HASSAN",26,4,11,4,7,0,0,0,0,2,10,0.2,0,0,,0,0,,2,GSW,0,15,,96,98,31.63561644,L
POR,2/3/2021,MIN,"MILLSAP, PAUL",34,11,11,6,5,2,0,0,3,4,11,0.3636363636,0,3,0,3,4,0.75,4,MIN,0,24,,91,119,35.98087432,L
POR,2/22/2021,@MIN,"MILLSAP, PAUL",35,6,11,2,9,1,0,2,1,2,6,0.3333333333,0,2,0,2,2,1,3,MIN,0,20,,86,114,36.03287671,L
POR,3/8/2021,DAL,"NURKIC, JUSUF",22,0,11,1,10,1,1,4,0,0,4,0,0,1,0,0,0,,1,DAL,0,17,,113,139,26.53972603,L
POR,3/25/2021,MIA,"NURKIC, JUSUF",31,12,11,2,9,2,1,0,0,5,13,0.3846153846,0,0,,2,4,0.5,4,MIA,0,26,,127,114,26.58630137,W
POR,4/8/2021,DET,"MILLSAP, PAUL",30,14,11,1,10,0,2,1,2,5,10,0.5,2,5,0.4,2,2,1,5,DET,0,28,,120,116,36.15616438,W
POR,4/10/2021,BOS,"FAVORS, DERRICK",28,12,11,4,7,0,1,2,2,6,8,0.75,0,0,,0,0,,4,BOS,0,26,,94,101,29.7369863,L
POR,4/18/2021,WAS,"NURKIC, JUSUF",26,19,11,4,7,5,0,0,2,9,15,0.6,0,0,,1,1,1,4,WAS,0,35,,124,123,26.65205479,W
POR,4/24/2021,PHX,"FAVORS, DERRICK",34,6,11,3,8,4,1,1,2,3,7,0.4285714286,0,0,,0,0,,5,PHX,0,23,,119,100,29.77534247,W
POR,5/8/2021,@CHA,"MILLSAP, PAUL",30,13,11,5,6,1,2,2,1,5,14,0.3571428571,1,6,0.1666666667,2,2,1,3,CHA,0,29,,108,101,36.23835616,W
POR,5/13/2021,@PHI,"ZELLER, CODY",28,17,11,4,7,1,2,2,1,6,9,0.6666666667,0,0,,5,5,1,2,PHI,0,33,,113,102,28.60273973,W
SAC,12/31/2020,BOS,"CAPELA, CLINT",31,22,11,2,9,1,0,1,2,10,13,0.7692307692,0,0,,2,4,0.5,1,BOS,0,35,,131,128,26.62191781,W
SAC,1/13/2021,DEN,"HARRIS, TOBIAS",35,24,11,1,10,4,1,0,4,10,17,0.5882352941,1,3,0.3333333333,3,3,1,3,DEN,0,40,,136,98,28.49863014,W
SAC,1/24/2021,OKC,"FOX, DEAARON",34,8,11,2,9,6,1,0,1,4,8,0.5,0,0,,0,4,0,4,OKC,0,26,,118,106,23.09589041,W
SAC,1/30/2021,@CHA,"HARRELL, MONTREZL",33,11,11,1,10,2,0,2,1,4,6,0.6666666667,0,0,,3,4,0.75,2,CHA,0,26,,102,95,27.0109589,W
SAC,2/5/2021,HOU,"HARRELL, MONTREZL",34,20,11,6,5,1,1,0,0,9,16,0.5625,0,0,,2,2,1,1,HOU,0,33,,116,136,27.02739726,L
SAC,2/10/2021,PHX,"HARRELL, MONTREZL",31,21,11,5,6,0,2,0,1,7,8,0.875,0,0,,7,8,0.875,2,PHX,0,34,,109,103,27.04109589,W
SAC,2/11/2021,@DEN,"HARRELL, MONTREZL",31,6,11,4,7,2,1,1,3,3,8,0.375,0,0,,0,0,,5,DEN,0,21,,110,106,27.04383562,W
SAC,2/15/2021,MEM,"HARRELL, MONTREZL",33,14,11,7,4,2,0,2,1,5,8,0.625,0,0,,4,4,1,3,MEM,0,29,,117,83,27.05479452,W
SAC,2/17/2021,NOP,"CAPELA, CLINT",37,8,11,3,8,4,0,1,2,4,7,0.5714285714,0,0,,0,0,,1,NOP,0,24,,113,126,26.75342466,L
SAC,2/19/2021,GSW,"HARRELL, MONTREZL",35,12,11,0,11,0,0,0,0,5,8,0.625,0,1,0,2,2,1,2,GSW,0,23,,118,124,27.06575342,L
SAC,3/5/2021,@MIA,"HARRELL, MONTREZL",32,10,11,1,10,2,0,0,3,5,9,0.5555555556,0,0,,0,0,,1,MIA,0,23,,120,104,27.10410959,W
